,locs0,locs1,locs2,locs3,locs4,subject
126,0.304252,0.008029729,-0.69933206,-0.8822915,-1.7980937,6
127,0.014823079,1.1109555,-1.82159,-0.39018208,-2.7499053,7
128,-0.8287057,-0.44610012,1.1965905,1.8193164,-1.1153657,8
129,1.5051045,0.43907928,-1.1591071,-1.3092351,-2.1418507,9
130,0.26828766,-1.4104573,-0.68106765,-3.1561747,-0.49689126,10
131,0.35600948,0.5462612,0.3860318,0.055402584,0.6639296,11
132,-1.4729986,-0.8261376,-0.5431584,-0.26524907,-4.3742948,12
133,0.78730786,1.0444227,0.23833838,-0.40091896,-0.7118714,13
134,-1.3586133,0.7151005,-0.6699387,0.06439061,-2.3245497,14
135,-0.6216947,-0.7794955,-0.78329265,-1.2153821,-0.31792483,15
136,-1.5444384,0.45027357,-1.352277,-0.6108285,-1.6197252,16
137,1.0822127,-0.21864012,0.6411546,1.5022676,0.4333485,17
138,0.28073737,-1.1470364,-0.19711852,-0.5511341,-1.0305192,18
139,-1.7591746,1.0372534,-1.183131,-2.1485064,-1.7679617,19
140,-0.7284735,0.76386195,-0.43860772,-0.8004296,-0.65757525,20
141,0.83280766,-0.53247476,0.47598007,1.184375,-1.2609252,21
142,-0.13368817,-0.9375145,0.6719946,1.836791,-1.8958738,22
143,-0.7434279,-1.1888347,1.6012121,1.0240903,3.1202507,23
144,-1.484483,0.6751362,-1.2893649,-0.2021515,-1.8933123,0
145,0.8157955,-0.29757404,3.149942,0.36146685,0.7041433,1
146,-1.2357994,-0.194691,-1.0750653,0.010121509,-1.6949503,2
147,-2.4384694,1.2952837,-0.037211776,-0.24441203,-1.9955987,3
148,-1.2752734,1.256338,-0.92554444,0.39472878,-1.2340336,4
149,1.560184,2.1187954,1.0817212,1.0054201,-1.1327887,5
150,0.19910343,0.4829113,-0.1265474,0.4529584,-2.1978226,6
151,-1.2444999,0.5651481,-1.1237816,-1.2014146,-2.6388695,7
152,-1.1411251,-0.43491924,1.2806392,1.9787366,0.2860923,8
153,0.4366107,0.7761121,0.15207678,-2.0847726,-2.0868344,9
154,1.4569359,-0.52989316,0.35636213,-1.3260407,2.369016,10
155,0.9540034,-0.21658055,-0.557667,-0.28841886,-0.35207924,11
156,-0.912745,-0.18358982,-0.50432444,0.064476594,-1.0765669,12
157,0.2608012,1.0178121,0.5916049,-2.0263944,-1.3092196,13
158,0.13477057,1.3550869,-0.75766456,0.8681483,-1.3947982,14
159,-0.14184722,-0.64991796,0.039372187,-0.99451864,-1.4403143,15
160,-0.8807415,2.3361664,0.1836865,-0.93382573,-1.7300829,16
161,-0.07517916,0.07952361,1.5906099,0.7362983,0.013906615,17
162,0.37202546,-0.2385444,2.665973,-0.6143365,1.8591194,18
163,-0.7278972,0.7149189,-2.0328577,-0.6419133,-2.3942008,19
164,0.64403635,1.2639908,-0.7238377,-0.74307096,-2.5666182,20
165,-0.3167786,-0.58857036,0.51938945,0.29226226,-0.21293683,21
166,-1.980097,-2.2182827,1.2366128,1.1975487,-1.4428499,22
167,-0.3470755,-2.0440528,2.4537706,1.092592,-0.5650706,23
168,-1.4593836,1.9282258,-0.58910495,0.7354535,-1.3600886,0
169,1.151955,-1.524975,-1.9856057,-0.95296013,0.8793858,1
170,-1.4482522,0.043740958,-0.25728846,-0.5527671,-1.3853816,2
171,-0.50602597,0.2521001,-1.4398279,-1.1231682,-1.7916168,3
172,-1.0172784,1.4295068,-0.79192525,0.8374538,-2.024772,4
173,1.2641492,0.9670366,0.97825694,-1.6032965,-1.6227534,5
174,0.81791794,-0.8536364,-1.853513,-1.2581158,-1.9854609,6
175,-2.0433936,1.0611727,-0.82727635,-0.35304236,-0.9049883,7
176,-1.1233981,-0.90898883,-0.47581974,1.394775,0.70863366,8
177,1.2609632,1.2492552,0.1411617,-1.5859134,-1.7925838,9
178,0.2661901,-0.28417528,2.1625774,-1.7198331,0.41918057,10
179,1.1411588,0.42180818,1.0408304,0.8009991,-0.7194037,11
180,-0.8146946,-0.7361325,-1.0031024,-0.04506941,-1.6129692,12
181,1.6129702,0.36925846,-0.81041145,-1.0216637,-1.800508,13
182,-0.63300514,1.0962023,-1.0448321,-0.46064064,-1.2449929,14
183,-0.39628196,-0.6049682,0.20628445,-1.0810578,-0.022918426,15
184,-1.3356299,0.40854675,-2.2735548,-1.3872246,-1.8850787,16
185,0.52867925,-0.13518915,0.70846474,1.4308289,-1.3126273,17
186,0.62076515,-0.77994853,0.79934156,-0.33408475,-2.069593,18
187,-2.020264,-0.6957039,-1.0444275,-1.5230769,-1.5024929,19
188,-0.22320679,1.5704908,0.3222562,-0.60237205,-2.6908293,20
189,1.0187935,-0.8983043,-0.92422426,0.30737484,0.40247983,21
190,-0.41476747,-1.4673281,0.8753594,1.770241,0.56530786,22
191,1.102399,-1.420146,0.55977434,3.1011333,0.56641567,23
192,-0.21272409,0.980007,-2.5661173,0.34545323,-1.8483473,0
193,0.57300043,-0.24367797,2.5333836,2.0713184,2.5447247,1
194,-0.69493484,-0.15151446,-1.6624616,-0.073442146,-2.268592,2
195,-0.9000736,0.88290733,-0.4089964,-1.0254258,-1.7750946,3
196,-1.1615726,0.9630469,-0.8246418,0.4310776,-2.8394887,4
197,0.42683068,1.3410375,1.3600088,0.10377616,-2.4711397,5
198,0.44578242,0.50333863,-0.1649151,0.13892746,-1.8499236,6
199,0.08856022,0.55487716,-1.7324548,-0.74478036,-1.1998601,7
200,-1.0881603,-1.084398,-0.093146175,2.0463524,1.0355557,8
201,-0.06638056,1.0330124,0.7237844,-2.1141646,-3.037517,9
202,0.65809345,-0.8455684,0.75533605,-1.870295,2.9720109,10
203,0.11468655,0.2754919,0.6061555,-0.3840949,2.4467385,11
204,-1.2010325,-0.533587,-1.3681648,0.090746626,0.028828979,12
205,1.262094,1.050015,0.6502662,-1.5316204,-1.910663,13
206,-1.463699,1.3258507,-0.3221315,-0.3824623,-2.4124205,14
207,-0.92146885,-0.57726985,0.2505405,-0.71472216,-0.45119724,15
208,-1.6143239,0.33063525,-1.8370262,-1.244056,-1.2300174,16
209,1.3609068,0.1953441,0.6178001,1.846596,0.07269067,17
210,0.8591337,-0.8649376,0.6769378,-0.7896702,-2.0170474,18
211,-1.5141375,0.94033563,-1.7121838,-1.2196672,-0.909191,19
212,-0.03663384,0.9854397,-0.90623325,-1.4132589,-2.153427,20
213,0.9926049,-0.5015653,-0.29976463,1.0248573,0.25057787,21
214,-0.09675719,-1.9610419,-0.8254339,2.545848,-1.5993384,22
215,1.0791624,-2.002535,-1.5486205,0.60309315,-0.82486,23
216,-1.4959553,-0.033635974,-1.1519275,-0.65166175,-1.9975967,0
217,2.0852096,-0.72098225,0.22710985,0.6428912,0.98268783,1
218,-1.32301,-0.30035478,-1.3909051,-0.3064122,-1.1287385,2
219,-1.8147084,1.9233155,0.3529582,0.060873955,-2.1975698,3
220,-0.036766052,0.83269703,-1.8217244,-0.030469105,-1.9557714,4
221,0.4877609,1.523804,0.949968,0.13117874,-2.0902255,5
222,0.5561286,-0.030393094,-0.8364222,-1.1638044,-1.5229859,6
223,-0.53495854,1.9762902,-0.7633915,0.7411935,-2.527605,7
224,-0.85432625,-1.8224307,-3.0111353,1.1213142,1.0138062,8
225,0.2967944,0.7973287,0.3220153,-2.3345008,-2.3282557,9
226,1.1836611,-1.0706136,-0.9293217,-0.6720712,-0.42212743,10
227,1.0689832,0.3560028,0.30754936,0.14759177,1.3367023,11
228,-1.4344144,-0.74247694,-0.7078191,0.16257082,-1.8658817,12
229,0.30743057,-0.24206752,-1.0687025,-2.3988268,-0.8541519,13
230,-0.28485245,0.7315194,-2.2384326,-0.27673358,-2.0234916,14
231,-0.349506,-0.5335772,-0.018735271,0.021287799,-1.0890439,15
232,-1.223258,1.6695807,-1.0234431,-0.60220015,-0.99845207,16
233,-0.33860785,-0.7852323,-0.913955,1.9499017,2.1054928,17
234,0.4888087,-1.3111115,-0.9290824,0.39925355,0.16086777,18
235,-1.4886044,0.05256152,-1.1905477,-2.2973871,-1.3899446,19
