,discount,learning rate,mf weight,mb weight,repetition,subject
136,0.27026188,0.5261829,0.4877741,1.3080466,0.2407927,16
137,0.42645782,0.6745059,5.2920938,5.7138577,0.66294223,17
138,0.6690999,0.40968022,5.205928,4.591887,0.33731973,18
139,0.6025983,0.828641,0.67442864,2.3186297,0.27618214,19
140,0.41788456,0.6680514,1.7199247,1.6555643,0.14930978,20
141,0.60347724,0.32657352,2.7482738,4.6867485,0.8594727,21
142,0.31355387,0.22367214,3.4112787,2.9241762,0.7747243,22
143,0.6004345,0.1745576,4.1470313,2.7415953,0.67116255,23
144,0.06783624,0.76229596,3.491345,2.1149378,0.3338385,0
145,0.8081577,0.28604624,3.8917665,4.51202,0.51562035,1
146,0.12899458,0.60601944,3.8657713,1.9548001,0.27913162,2
147,0.25641823,0.8142703,3.8958535,1.791132,0.18233454,3
148,0.48143354,0.77611,1.2248188,4.4081674,0.089931175,4
149,0.4293339,0.5568006,2.2372382,1.272584,0.29197234,5
150,0.2228838,0.5125512,3.5190492,1.0448819,0.45237532,6
151,0.45045364,0.64819646,0.49480104,2.1922286,0.16241097,7
152,0.6350901,0.29016304,1.7652215,4.2430353,0.4268103,8
153,0.67342734,0.72213274,2.25881,2.2610068,0.33367494,9
154,0.6597693,0.33380333,4.869462,0.763497,0.857723,10
155,0.42432034,0.41490594,2.5961175,2.0028331,0.79858124,11
156,0.06127506,0.31759074,4.0278063,2.0748966,0.6272942,12
157,0.39364898,0.7599848,2.5986094,3.9666889,0.61015946,13
158,0.24872944,0.75660896,1.518461,3.5184438,0.23152837,14
159,0.24492438,0.58409065,5.404583,3.3001835,0.80355424,15
160,0.2594078,0.6804574,0.54707325,1.8148881,0.18592167,16
161,0.6793287,0.48826274,3.7382834,5.051566,0.76770663,17
162,0.8034223,0.25669733,1.3398161,2.1335964,0.63832265,18
163,0.6351104,0.7422712,0.8631238,1.8928866,0.12754084,19
164,0.3675927,0.5608538,0.9344448,1.1256578,0.20646816,20
165,0.740033,0.5214918,4.41608,5.055592,0.7554664,21
166,0.3391879,0.28225893,4.5350347,3.8324096,0.8444956,22
167,0.74999785,0.23709469,4.3807473,5.5494747,0.51328266,23
168,0.4649219,0.58385247,0.32436797,1.7743632,0.44357827,0
169,0.8766057,0.23549715,2.1041005,2.602129,0.5862979,1
170,0.12693642,0.4312367,1.4461904,2.154968,0.26875654,2
171,0.38336524,0.50267726,0.50710726,1.8857944,0.23537746,3
172,0.105577424,0.7430931,1.9787562,3.7004914,0.20521542,4
173,0.49027282,0.5120831,3.98598,0.44423765,0.10911328,5
174,0.56881,0.50655425,2.1716437,1.3464402,0.4546708,6
175,0.36261776,0.92102975,2.2860813,2.9516563,0.14932829,7
176,0.1523875,0.3778766,4.652993,5.0960097,0.2873689,8
177,0.7668455,0.47336954,1.2053127,0.39146715,0.21851002,9
178,0.7868877,0.30545115,3.5602555,1.0582037,0.25084686,10
179,0.7048773,0.45860678,1.565865,1.8648789,0.7196215,11
180,0.14449343,0.3178096,3.1739745,2.210595,0.19518569,12
181,0.4630559,0.5898819,2.9605675,0.55932987,0.32419482,13
182,0.23423748,0.4123899,1.3801498,1.7911751,0.24672547,14
183,0.39780945,0.36625975,3.6237779,1.5715544,0.67669886,15
184,0.2776869,0.79618543,1.0419128,2.066361,0.15481293,16
185,0.5539717,0.7328698,4.8364267,5.690355,0.95173496,17
186,0.65761787,0.22328466,2.408754,0.6809988,0.14142022,18
187,0.48443443,0.68655884,1.2805064,1.0588007,0.12714879,19
188,0.3469903,0.59406364,0.6393528,1.9941788,0.12894809,20
189,0.7952782,0.40109983,2.8162239,3.889668,0.72141516,21
190,0.46163985,0.17206682,4.556241,4.544925,0.124332316,22
191,0.5098301,0.13641898,2.2206473,2.1826167,0.5961422,23
192,0.28760502,0.47332937,0.2920789,2.8253815,0.22452211,0
193,0.5782695,0.30725193,3.8896065,3.444432,0.36996785,1
194,0.4100609,0.5324118,2.0702264,2.9389384,0.12017738,2
195,0.1734651,0.41054899,1.1182243,1.5512052,0.08902831,3
