,locs0,locs1,locs2,subject
113,0.031456947,0.3416491,-1.7287967,113
114,1.7826625,0.48863095,-1.4317296,114
115,-1.275261,0.5166043,0.9549713,115
116,2.2067018,-0.10643935,-0.9059198,116
117,-0.3019125,1.4706897,0.8486382,117
118,-0.5508038,1.5617945,0.55440587,118
119,1.3281058,0.739752,0.14312035,119
120,0.03343764,-0.116955906,0.11510998,120
121,-0.40445745,-0.8235626,1.0607771,121
122,0.9584203,0.8536915,-0.74859774,122
123,-1.106847,-0.19365358,-1.0827172,123
124,1.8446151,-1.0083752,-0.6097627,124
125,1.8558443,1.5514288,1.0332652,125
126,-3.298151,1.297314,0.37296805,126
127,0.6700256,-1.6072179,-1.3883103,127
128,-0.11251062,0.892001,-0.783618,128
129,0.8832456,0.071186185,-0.08285016,129
130,0.8183712,1.0461307,-0.91770446,130
131,-0.24566332,-1.4435892,0.40845865,131
132,0.49024436,-1.1566995,1.136708,132
133,-1.9512302,0.9761348,-0.18463463,133
134,0.55259746,0.56908274,-1.5888568,134
135,-0.8008894,1.1088094,1.1026053,135
136,-0.58169866,0.63938,-0.53961354,136
137,1.4780879,0.3428265,0.2889729,137
138,0.6450803,0.73731494,-0.061036855,138
139,0.20867413,0.33648518,-0.33751374,139
140,-0.47383374,0.47695774,-1.1808181,140
141,-1.8348559,1.0427523,-1.5490253,141
142,0.3364173,1.0456266,-0.5868464,142
143,-1.5068349,0.78823876,-0.60084,143
144,-2.0820913,-1.743978,-1.3360217,144
145,-0.93978214,1.0950663,0.5100806,145
146,0.61217946,1.2280405,-0.81409484,146
147,1.1541061,0.3753639,-0.27406883,147
148,-1.436292,0.06517148,-0.08821252,148
149,1.0000612,1.2141981,0.37930238,149
150,0.41393572,0.40136662,-1.8856227,150
151,0.45918453,0.5524868,-0.059874207,151
152,1.009103,1.5107251,-1.2526344,152
153,0.22809547,0.3493501,-0.6682265,153
154,-0.7453679,-1.6742024,0.51626414,154
155,1.964616,-0.3721208,-0.21868303,155
156,-2.6991363,-0.33149076,-0.7529923,156
157,0.12606698,-0.7410413,-1.5828276,157
158,0.18288803,-0.27425203,-0.6067723,158
159,0.36039537,-0.095929086,-0.6928196,159
160,-0.273579,0.21802002,-1.3218663,160
161,-0.18537188,0.6320826,-0.38347217,161
162,-0.36520255,0.3475384,-0.46561003,162
163,0.52303445,0.2636821,-0.8377553,163
164,-0.22758704,1.6927998,0.16837245,164
165,0.7521482,1.0303962,-0.3798178,165
166,2.1756997,1.9809713,0.37433964,166
167,2.5422983,-0.8210939,-0.5059929,167
168,-0.3657016,-1.0229113,0.5480875,168
169,0.57614064,0.09006482,-0.8573127,169
170,0.031685084,-0.054001987,-0.6117732,170
171,1.5791736,0.26567888,-0.08528301,171
172,1.0957024,0.9289441,0.020348579,172
173,2.159871,0.64389807,-1.6739025,173
174,1.1121485,-0.81794435,-1.2627833,174
175,0.119818926,-0.55688214,-0.38663626,175
176,2.0555062,-0.6404484,0.9821981,176
177,-0.3348236,1.1603446,-1.2958007,177
178,0.5526734,0.26331177,-0.15891245,178
179,-0.59529865,1.1839532,-0.35364425,179
180,0.99955434,-3.658949,0.7390108,180
181,0.13705775,-0.5360102,-0.45777026,181
182,1.7392671,-0.041089594,-0.84648556,182
183,-2.8409185,-0.079374194,-1.7480046,183
184,1.424063,1.2089921,-0.10826719,184
