,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
139,0.3181345,139,0.73985606,0.9614273,0.8452396
140,0.2635543,140,0.5244917,1.1608608,0.9918074
141,0.2892077,141,0.63915104,0.77170885,0.5446678
142,0.2734347,142,0.5853489,1.0840056,1.0947366
143,0.4229276,143,0.6116044,0.8956061,0.6111744
144,0.30360204,144,0.65514225,0.7362658,0.5977174
145,0.25492772,145,0.69108635,0.78322715,0.6262948
146,0.29528943,146,0.6883719,0.93091184,0.8640957
147,0.28140894,147,0.6173644,0.96891516,0.7428258
148,0.42475605,148,0.48518,1.2598984,0.73840725
149,0.40099588,149,0.7151594,0.9722516,0.7503425
150,0.24972293,150,0.6785035,0.8342828,0.72854674
151,0.33229798,151,0.7576011,1.1126372,1.1760293
152,0.3129185,152,0.7236432,1.0855997,0.958528
153,0.25367755,153,0.55236024,0.62813526,0.5463172
154,0.27379704,154,0.30786955,1.0077565,0.6464498
155,0.54316497,155,0.49338263,0.8127267,0.57136846
156,0.32423893,156,0.74081653,0.9696209,0.8008038
157,0.29275897,157,0.6272733,0.7554369,0.58544636
158,0.3124743,158,0.31848615,1.1362548,0.9573505
159,0.37562665,159,0.46825117,0.78958994,0.5698852
160,0.31693837,160,0.6823892,0.87493396,0.6998363
161,0.32544428,161,0.6799249,0.6857133,0.5036863
162,0.31836352,162,0.49983123,1.1496359,1.0476956
163,0.32111946,163,0.687902,1.0334256,0.82562304
164,0.29902467,164,0.72374815,1.4853076,1.3262246
165,0.32234582,165,0.6607664,0.9178738,0.6295521
166,0.35503572,166,0.7083389,0.7866109,0.7530535
167,0.31281573,167,0.5649118,0.78845274,0.6060424
168,0.3400487,168,0.5402077,0.9760617,0.774433
169,0.3666606,169,0.46147767,1.0095016,0.7791573
170,0.28631404,170,0.7365632,0.97587985,0.76039475
171,0.3889767,171,0.6592436,1.0092953,0.69240403
172,0.28460285,172,0.6847705,0.8787872,0.68040234
173,0.3860915,173,0.66425073,1.2283684,0.87026966
