,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
36,0.44766626,36,0.14367111,1.8650781,0.7300302
37,0.10867196,37,0.31321505,4.1902957,0.8043405
38,0.24056144,38,0.16780227,4.512616,0.8309861
39,0.22526969,39,0.12531209,2.72269,0.7873005
40,0.6281761,40,0.46320006,2.2123027,0.75269383
41,0.61516595,41,0.15647437,2.0498173,0.57548445
42,0.20904858,42,0.16496885,2.742293,0.81096745
43,0.6394646,43,0.32745177,7.8604846,0.8173544
44,0.44673485,44,0.17976718,2.785033,0.4930961
45,0.5643983,45,0.4181875,5.1086884,0.73601025
46,0.45791155,46,0.23299064,5.2861843,0.7422623
47,0.43981823,47,0.2034864,5.7719297,0.82292324
48,0.7098875,48,0.34704927,4.909103,0.8339783
49,0.4910366,49,0.25997612,4.907553,0.693546
50,0.45922357,50,0.49874744,6.062503,0.81726265
51,0.48531806,51,0.38473606,2.463649,0.3736293
52,0.5600931,52,0.24670081,5.415938,0.793057
53,0.539912,53,0.17638126,3.3789551,0.72394997
54,0.58574253,54,0.28416982,4.2479815,0.82705295
55,0.6206844,55,0.39037618,4.1123395,0.6230457
56,0.60814553,56,0.22310334,5.0463147,0.84859645
57,0.06937545,57,0.16131298,2.7503316,0.844517
58,0.6328318,58,0.21572702,6.7822328,0.7978569
59,0.29242548,59,0.11520003,7.908121,0.8181941
60,0.5984242,60,0.27537507,3.4072313,0.45826077
61,0.34646615,61,0.085986465,4.764267,0.82981336
62,0.67171174,62,0.6495088,5.0743036,0.69018877
63,0.5910344,63,0.49349198,2.783828,0.8072687
64,0.45721048,64,0.21741702,7.4488106,0.8209287
65,0.7383274,65,0.49864873,3.2118511,0.7305482
66,0.37237585,66,0.11104535,5.9439836,0.8421934
67,0.11066435,67,0.23385324,6.417116,0.8063895
68,0.51442397,68,0.14263311,3.359962,0.6678242
69,0.28025186,69,0.16329908,1.9285,0.59587747
70,0.522793,70,0.40709427,4.606508,0.8317687
71,0.45248613,71,0.58529663,4.4562564,0.73207766
72,0.75688183,72,0.5979856,8.384181,0.5960704
73,0.5196849,73,0.28494096,3.4101713,0.85172826
74,0.48999676,74,0.103154786,6.4428487,0.8093073
75,0.6222049,75,0.53013253,3.4931567,0.45770618
76,0.35488316,76,0.13929266,3.4053824,0.81159914
77,0.4370851,77,0.72760266,8.313012,0.63319767
78,0.2308624,78,0.3785374,2.9689155,0.6599531
79,0.43360797,79,0.40867394,4.6287236,0.2768268
80,0.43952855,80,0.18740109,4.2395163,0.83489144
81,0.71386147,81,0.52134544,7.2952924,0.71530485
82,0.415853,82,0.52114576,1.3174326,0.326999
83,0.7383347,83,0.58763903,6.5688224,0.6954718
84,0.48986933,84,0.3157398,1.4521013,0.34012255
85,0.488189,85,0.25764447,3.9006786,0.5878352
86,0.6609203,86,0.21802533,3.6574795,0.6857896
87,0.4287392,87,0.22952375,7.414345,0.78490037
88,0.0687459,88,0.3833805,2.7795684,0.8208941
89,0.3756781,89,0.5838713,1.4291961,0.3120389
90,0.67767507,90,0.6556603,6.2754755,0.8334368
91,0.66975003,91,0.4625947,4.3918285,0.57505006
92,0.67074937,92,0.6923127,1.641874,0.35601148
93,0.36374116,93,0.08906544,6.926172,0.80799687
94,0.5020579,94,0.27852213,6.1768045,0.85181516
95,0.60067064,95,0.33547035,4.3524384,0.79325587
96,0.37927827,96,0.5313994,1.6179537,0.820885
97,0.05950314,97,0.26220533,4.06477,0.8622263
98,0.68567765,98,0.4373186,3.5575645,0.86525047
