,locs0,locs1,locs2,subject
220,-1.4025359,1.5457151,2.6377332,4
221,-2.300807,-0.5482172,-1.5398856,5
222,-2.3761384,0.7252611,-0.69702905,6
223,1.7072172,1.6280124,-0.040508732,7
224,-3.2143064,-3.0097182,-1.7862755,8
225,0.023602456,0.021355674,1.3689381,9
226,-0.96449494,0.19538447,-0.5855738,10
227,0.5535129,-0.39023626,0.3190006,11
228,-0.17627013,-0.56064665,-0.74621964,12
229,2.1664538,0.6694591,1.4989299,13
230,-1.5648305,-0.2823427,0.36378103,14
231,-2.318545,0.4147163,1.8676836,15
232,-3.4110415,0.22104517,-0.086420074,16
233,1.4030228,-0.48689386,0.53220844,17
234,-3.5045235,1.562656,-1.9587957,18
235,2.523313,0.42188075,1.7237908,19
236,2.1988633,-0.37621623,0.2466731,20
237,1.3283055,-1.6921079,-0.0889011,21
238,0.44055402,1.8893043,1.4986328,22
239,-1.9879477,-0.45203215,0.36751193,23
240,1.2249479,0.93753016,-0.19916262,0
241,0.48996222,-0.9795214,-0.82719505,1
242,0.14148796,1.5379955,1.3425442,2
243,-0.75340235,0.80780387,1.1509035,3
244,3.007991,1.151626,1.4965951,4
245,-2.0883079,0.035731584,-1.9547417,5
246,-2.739854,0.28876337,-1.3017644,6
247,2.3505082,1.3870611,-0.36608365,7
248,-3.5868945,-1.0772749,-1.7914888,8
249,0.31984234,-0.5739436,1.3206419,9
250,-2.2683084,1.1409682,0.5492859,10
251,0.1641553,-0.030128002,1.2929204,11
252,-0.69487655,-0.5459881,-0.37193167,12
253,2.7050996,0.4543871,0.8643556,13
254,-1.8402611,-0.3435247,-1.0255134,14
255,-2.4839494,0.40685797,1.1922672,15
256,-3.5165932,0.5147428,-0.47914076,16
257,1.9471031,0.386637,1.4217062,17
258,-3.4207299,0.14847523,-1.6340622,18
259,2.2659693,0.7874396,2.9401886,19
260,-1.3446668,0.4451151,1.3752977,20
261,4.6384296,-2.9683135,-0.26534238,21
262,1.1557878,1.9912872,2.3731685,22
