,locs0,locs1,locs2,subject
135,-0.5790738,-1.0296692,-1.5737648,15
136,1.0305362,-0.7313298,-1.6708288,16
137,-1.1368828,0.41793668,-1.6322277,17
138,-1.9170616,-2.0802255,-0.28379792,18
139,-1.3087897,-0.20032182,0.36655474,19
140,0.546234,-0.4747523,-0.34846655,20
141,-1.5770525,-0.4063109,-0.52871495,21
142,-0.33793044,0.45243663,-1.0307441,22
143,-1.4657543,-0.3905396,-0.3338061,23
144,0.6326318,1.2925379,0.3909889,0
145,-0.74330556,0.04165089,-0.15038973,1
146,-0.22440416,-1.2463589,0.6270558,2
147,-0.7640798,0.11133103,-0.59407157,3
148,0.07354599,1.3937391,-0.84447914,4
149,-0.18675649,-0.5613868,-1.0159705,5
150,0.32712463,-0.76727253,-1.3451035,6
151,0.6851375,-0.18706538,-0.54567003,7
152,-1.8963621,-1.6680477,-0.66135955,8
153,0.8473234,1.4861978,-0.67087275,9
154,-3.3900795,-2.2679791,-0.43273306,10
155,-0.9816597,-1.2667902,-0.15075254,11
156,-0.20593017,-1.7999129,0.36417308,12
157,0.6575147,-0.8276343,0.008090138,13
158,-1.3006147,0.5271786,-0.2772101,14
159,-0.60920334,0.7061151,-2.1565702,15
160,1.6075671,-0.11460096,-1.6893699,16
161,-0.502977,-0.8096029,-0.61292833,17
162,-0.039376557,-1.357115,-0.9919902,18
163,0.22362995,-0.514381,-1.6812661,19
164,1.6331968,0.19455639,-1.0017014,20
165,-0.4577984,-0.61422294,-0.13670355,21
166,0.24771976,-1.7817451,-1.0245569,22
167,1.5168296,-2.22358,0.99231946,23
168,1.2807702,0.21502769,-0.22563288,0
169,-0.69362223,1.0541291,-0.35415477,1
170,-0.7111011,-0.86708283,0.48546797,2
171,0.35973212,-0.780852,-0.586958,3
172,1.0464703,0.9342772,-0.20365359,4
173,0.48487964,-0.93688536,-1.0782623,5
174,-0.6741735,-1.591401,-0.17691118,6
175,0.05870661,0.2943732,-1.1219051,7
176,-2.536372,-3.7284951,0.027195752,8
177,0.09889975,-0.083584905,-1.2747815,9
178,-0.08207291,1.6555508,-2.2415125,10
179,-1.0051527,-0.3497905,0.67342436,11
180,-0.86338747,-1.6690351,0.80954826,12
181,0.60446423,0.33694386,0.25541818,13
182,-0.63089,0.13587388,-1.1097825,14
183,-0.9625699,-0.38825634,-1.4293278,15
184,-0.88145167,1.8690578,-0.195009,16
185,-0.5959215,0.011742413,-1.2204522,17
186,-1.1380684,-1.0763255,0.06885362,18
187,-0.29972124,-0.5196074,-1.1200278,19
188,0.008840799,1.2211323,-0.6419319,20
189,-0.34751397,0.7215754,-1.1958922,21
190,-1.0330265,1.0285125,-1.0839587,22
191,-0.16550922,-1.4952152,0.06567189,23
192,1.4597114,1.002275,-0.9510709,0
193,-0.4327438,0.6504195,-0.77888143,1
194,-0.9471635,-1.8398464,1.6439165,2
195,0.80757177,0.3400197,-0.43638372,3
196,0.5156064,0.46462578,0.4333378,4
197,0.31667763,-0.30630004,-1.6336677,5
198,-0.9502206,-0.040996492,-0.17847028,6
199,1.276145,1.3098875,-1.5413675,7
200,-0.77121216,-1.769412,-0.3225309,8
201,0.32183558,0.8711108,-0.46480468,9
202,-1.7621974,-1.182515,-1.5363545,10
203,-0.9957452,-0.4549801,-0.20135617,11
204,-0.05739683,-1.9981455,0.058293253,12
205,-0.307346,-0.71972334,-0.74990964,13
206,-1.3454893,0.0019240975,0.14408809,14
207,0.7108094,-2.4423294,0.24184167,15
208,1.4158292,0.84581053,-0.75640917,16
209,-1.9729118,-0.6636952,-0.5456942,17
210,-2.5308623,-0.8549834,-0.29366797,18
211,-0.34648207,-0.9280793,-0.6003916,19
212,0.5810035,0.6206817,-0.74047124,20
213,-1.6426518,1.057849,-0.63996077,21
214,0.32533967,-3.6369784,0.049328208,22
215,-1.8669276,-4.5551925,0.77319324,23
216,0.89308983,0.72284114,-0.42488015,0
217,0.4196247,0.09879373,-1.6317393,1
218,-0.3372849,-0.49491525,0.579847,2
219,0.38557968,0.82105136,-0.24601907,3
220,-1.1171608,0.08917424,-0.34832957,4
221,0.24303758,-0.43949765,-0.48757812,5
222,-0.74387443,-1.4308522,-1.256587,6
223,0.26389652,-0.47955155,-0.756414,7
224,-1.8248606,-2.6724699,-0.4748282,8
225,0.074655324,0.4896187,-0.8040931,9
226,1.1549917,1.160076,-1.6205895,10
227,-0.82215077,-1.3976774,1.8937262,11
228,-0.669587,-2.4647968,1.0472108,12
229,0.8844014,-0.900239,-0.2582217,13
230,-1.9328955,-0.4189251,-1.4493631,14
231,-1.5243804,-0.60843813,-1.318089,15
232,0.8190692,-0.8798835,-0.2632013,16
233,-1.0132198,-0.95913243,-0.5663077,17
234,0.11873257,-2.3000336,-0.49598062,18
235,-0.4908486,-1.053128,-1.4259635,19
236,-0.0646376,-0.065589786,-0.7780121,20
237,-0.749273,-0.0797714,-0.99354047,21
238,-2.1943874,1.2247355,-1.1981568,22
239,-0.36304384,-0.67852813,-0.9066327,23
240,0.26928762,0.24345881,-0.10138184,0
241,-1.6338141,0.26968354,-0.99438727,1
242,-0.8647958,0.6209991,-0.056454062,2
243,0.096820585,1.2580867,-0.61425024,3
244,1.0006659,0.18747848,-0.090573266,4
245,0.80600786,-1.1987847,-1.0841378,5
246,0.10640085,-0.60402715,0.3526008,6
247,0.47440112,-0.27626097,-0.4559675,7
248,-1.0608764,-0.7271593,-0.3516326,8
249,0.50377417,1.148931,0.19625342,9
250,-2.1081939,-2.6849537,-0.2387144,10
251,-0.2141062,-0.45138568,0.2423188,11
252,-0.20339549,-0.8415289,1.470336,12
253,0.01870498,-0.272966,-1.2862285,13
254,-1.600961,-0.31680262,0.27339375,14
255,-1.4929879,-2.1247644,0.33949715,15
256,0.6921516,1.3573649,-1.2995962,16
257,-1.0830857,-2.3923163,-0.75795627,17
258,-1.9598821,0.7581972,-1.6386952,18
259,0.201648,-1.2891548,-1.244493,19
260,0.6456875,0.2771586,-0.42333394,20
261,-0.7661439,1.6476647,-2.1953013,21
262,-1.1387956,-0.6978425,-1.2196348,22
263,1.2842995,-0.21706367,0.2710222,23
264,1.2299575,1.3568928,0.023708045,0
265,-0.65475583,0.47169858,-0.8864459,1
266,-0.9912859,-2.2049441,1.653652,2
267,-0.2496801,2.1231008,-0.3160199,3
268,0.63469464,0.022901893,-1.7000337,4
269,-0.25192997,-0.49391016,-1.1918656,5
270,-0.26059133,-0.37684157,-1.1096117,6
271,-0.6888561,-0.083032295,-1.4331882,7
272,-1.5920498,-3.1463609,0.23221785,8
273,-0.5665903,0.71381533,-0.40736765,9
274,0.26417625,-0.78228056,-1.0457774,10
275,-1.2803768,-0.37404764,0.766058,11
276,0.28272766,-1.3409437,-0.12330207,12
277,0.8523204,-1.1420418,0.215464,13
278,-1.3414984,1.2324904,-0.05272782,14
279,-0.81725836,-0.31035686,-0.6860067,15
280,-0.15587157,1.1924087,-0.5497599,16
281,-0.2892322,-0.6387649,-0.8293985,17
282,-2.3980432,-2.8074713,0.81653875,18
283,-1.0608462,-1.165954,-1.8759704,19
284,-0.22171068,0.7537693,-1.0892591,20
285,-0.44143236,-0.36781728,-0.9974524,21
286,0.24031794,2.8470492,-2.033659,22
287,-0.4825497,0.28833544,-0.43357408,23
288,0.97770107,0.0023708344,-0.46403196,0
289,-1.1441334,1.1920537,-1.6082025,1
290,0.13279498,-0.994167,1.0238943,2
291,-0.5763633,-0.3322839,-0.9194581,3
