,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
66,0.28851905,66,0.7000152,2.0757372,4.6626053,0.12962788
67,0.24568875,67,0.4746769,2.150672,4.893413,0.13702404
68,0.79227906,68,0.49610364,2.1159663,0.7090736,0.27749515
69,0.6042913,69,0.60920775,2.9351,1.4141767,0.38977435
70,0.5356444,70,0.28884453,3.701727,4.256054,0.47266603
71,0.5750752,71,0.10780385,3.956048,3.862149,0.40993223
72,0.6104826,72,0.22571726,2.4941046,1.5274805,0.34916285
73,0.2373189,73,0.09455675,1.6738594,3.311307,0.3644021
74,0.5070402,74,0.76620644,2.2643347,3.6853511,0.1617582
75,0.24086484,75,0.6120667,2.110829,2.1775997,0.19990262
76,0.21872918,76,0.36540118,3.5334268,3.1099482,0.200711
77,0.28002697,77,0.7608155,1.705835,2.8654335,0.16275279
78,0.36374086,78,0.5028454,2.3936331,1.110906,0.20682345
79,0.2713757,79,0.6655607,1.8947607,3.8624532,0.17739047
80,0.7304037,80,0.6445244,4.4389377,2.807912,0.16982803
81,0.27790684,81,0.6852416,0.81186914,0.79515356,0.12981802
82,0.5078228,82,0.09484321,3.7975225,3.8061814,0.33941865
83,0.25152263,83,0.76397306,1.5907043,3.0482304,0.12862344
84,0.6199949,84,0.10400247,4.105901,3.340484,0.36153302
85,0.54858214,85,0.62934434,2.8613555,1.9594017,0.16673169
86,0.20699637,86,0.7619741,0.713896,0.60669935,0.1162582
87,0.7204563,87,0.66020393,4.0266714,3.0409665,0.27910367
88,0.3210953,88,0.5945376,1.4892951,1.9746387,0.23193316
89,0.240454,89,0.48057625,2.034705,4.8356557,0.18700813
90,0.40379462,90,0.5662971,2.1635797,2.4299374,0.22512758
91,0.4738028,91,0.078506164,3.7098107,4.1257567,0.35908416
92,0.43368822,92,0.5366977,2.7959487,4.34393,0.38444805
93,0.79450977,93,0.54871583,3.8797174,1.3127171,0.48718578
94,0.2482933,94,0.59075165,1.7850167,4.7409434,0.124176756
95,0.26189336,95,0.6981213,0.582116,0.44674036,0.12656331
96,0.5448861,96,0.117863834,3.7646053,3.6808877,0.3449328
97,0.5671471,97,0.29466105,3.050993,2.936865,0.3317859
98,0.21416403,98,0.43497577,1.5211328,2.7169147,0.29188251
99,0.5013588,99,0.69318837,3.2281382,1.1018677,0.25492978
100,0.58450013,100,0.3237614,3.802769,3.0951567,0.35461378
101,0.66951007,101,0.8049338,3.4552464,1.4753065,0.14305715
102,0.6550715,102,0.41839397,3.6816099,3.1961446,0.19745794
103,0.59878635,103,0.3822672,2.6892114,4.1398168,0.24184766
104,0.23788923,104,0.70944715,1.5573183,4.345882,0.106673434
105,0.5382683,105,0.104215674,3.80172,3.7641559,0.40345773
106,0.81369483,106,0.65064627,4.5435367,1.9004514,0.18710837
107,0.39967778,107,0.60620713,2.7235808,4.860577,0.30351737
108,0.52308804,108,0.23127826,3.8057592,2.7823472,0.28467885
109,0.23859222,109,0.806829,1.3809226,3.779206,0.090295784
110,0.5895382,110,0.08982088,4.179748,3.3765507,0.4027583
