,policy rate,reward rate,dec temp,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp
62,0.08412548,0.7946033,2.0399144,12,0.14233154,0.10200143,0.8605047,0.48750317,1.1600052,1.8777729
63,0.6956063,0.30957896,2.1585274,13,0.6870218,0.69253004,0.47082806,0.50371546,2.3359947,3.291587
64,0.7405327,0.4035304,2.1784184,14,0.8686063,0.7219272,0.8195417,0.7249326,6.7158165,3.5587354
65,0.50023776,0.3490948,5.2397723,15,0.33104277,0.4622069,0.27946264,0.2869942,4.5387506,3.9882896
66,0.37218198,0.31677422,3.5355206,16,0.5624241,0.53130895,0.2613287,0.35905516,4.2250643,3.6735
67,0.3952971,0.93176544,8.48867,17,0.36756974,0.3609532,0.6678158,0.6492838,6.2911143,5.8241005
68,0.63347954,0.6082661,5.7962823,18,0.56673366,0.6295952,0.4935493,0.60347813,6.2266803,6.4541073
69,0.908712,0.2299825,3.7952452,19,0.36525118,0.78040326,0.4305175,0.34373844,5.7098384,5.619845
70,0.342838,0.67461866,2.5358706,20,0.67734647,0.70582473,0.96837336,0.7479555,4.5827775,2.1799014
71,0.030534206,0.5045189,3.2436693,21,0.09924966,0.096345864,0.7254775,0.73035353,4.08434,2.6569047
72,0.43066004,0.68627864,0.60560966,22,0.7299479,0.44621384,0.9854353,0.77922225,3.2768192,1.7987816
73,0.4488073,0.48474604,3.9833136,23,0.3284108,0.30321735,0.38655478,0.6286366,1.4630959,3.2288675
74,0.5805575,0.5146986,4.224659,24,0.34607595,0.5090811,0.46726388,0.50691444,5.474063,5.4075155
75,0.47397754,0.5856683,1.5697218,25,0.5266521,0.5915634,0.84565115,0.64665526,5.348172,2.1089911
76,0.3537077,0.67151684,6.535862,26,0.34902954,0.4134656,0.5162457,0.59139675,3.834136,5.0258703
77,0.22907811,0.2561555,5.404515,27,0.34388322,0.2548347,0.24876046,0.32038558,4.2796106,5.437393
78,0.6131399,0.6968431,3.2053435,28,0.995737,0.60538954,0.56150687,0.5551975,3.2495072,4.1396747
79,0.5665651,0.64912826,3.7581155,29,0.78475845,0.7593632,0.40806723,0.40561286,2.2043447,3.2464824
80,0.16834933,0.42839223,1.3175392,30,0.34033376,0.20321324,0.8364211,0.5812186,1.4258704,1.9779475
81,0.34759095,0.7019506,4.287017,31,0.4354378,0.39045724,0.7419257,0.7244207,4.5399942,3.9464643
82,0.47608683,0.624338,1.6216576,32,0.58802664,0.4883128,0.6615427,0.52319145,2.272096,2.8731792
83,0.12095208,0.47997117,1.5571319,33,0.18723273,0.21110709,0.9485334,0.72796524,1.5935553,2.683495
84,0.26689354,0.76541454,4.380887,34,0.5300856,0.47392994,0.73607266,0.666891,3.984787,3.6869316
85,0.8106881,0.8760558,2.2281866,35,0.80511516,0.74999607,0.9745663,0.75919765,3.1375382,1.9975471
86,0.306236,0.8771333,4.1716995,36,0.34631395,0.2880376,0.6624335,0.7779984,1.1217365,2.5272617
87,0.90659684,0.66312355,4.8449173,37,0.9483747,0.80326605,0.38666928,0.64046144,3.5569773,5.5378437
88,0.3884669,0.81726426,1.8947357,38,0.2494002,0.27129602,0.26678115,0.68442273,1.9038326,1.8214405
89,0.41001514,0.6183996,7.7957773,39,0.30127484,0.45216668,0.6468541,0.6198478,6.9849954,6.7749844
90,0.43303278,0.35559034,6.122232,40,0.33862227,0.30939308,0.41997296,0.4537469,6.787513,7.047982
91,0.6506329,0.46571305,1.1826963,41,0.6023537,0.7130853,0.36571813,0.59555835,1.7365471,2.1936245
92,0.15217027,0.95687026,4.9784107,42,0.3311504,0.2670548,0.78031784,0.7087032,4.6335096,3.783626
93,0.19111083,0.81670666,1.6109854,43,0.28171265,0.22442697,0.6224529,0.7222512,2.7680154,1.8662585
94,0.51238734,0.028620783,6.05208,44,0.57494056,0.5007792,0.026441514,0.032783527,6.2095337,5.5680604
95,0.6915434,0.07938951,7.366383,45,0.4584371,0.5338301,0.06749129,0.07147739,6.3760443,6.4395165
96,0.92715305,0.70217943,1.034654,46,0.8965924,0.8751937,0.5256165,0.7546182,1.0306251,1.5118548
97,0.1478012,0.7657139,7.925157,47,0.20233399,0.22486126,0.6892997,0.6545867,6.498911,5.8668814
