,discount,learning rate,mf weight,mb weight,repetition,subject
50,0.25842652,0.75583273,1.964267,0.8221284,0.112868264,2
51,0.27912518,0.6587341,1.0091196,0.49583173,0.08064859,3
52,0.20559748,0.8424719,1.1192523,1.4482547,0.103897296,4
53,0.17125109,0.25768733,1.418397,1.0943958,0.16501498,5
54,0.22284363,0.68508476,0.825371,0.82593423,0.19859521,6
55,0.30096653,0.5201554,0.9550583,0.5491064,0.104334,7
56,0.33364856,0.53570527,0.24144247,0.6467947,0.2471206,8
57,0.28434157,0.4707095,0.5851872,1.7041326,0.02310525,9
58,0.16265519,0.76973754,0.7643337,0.48319983,0.07799648,10
59,0.15115178,0.8044453,0.8397587,0.6083522,0.110757336,11
60,0.48122278,0.62060267,0.74817747,0.71388876,0.12340892,12
61,0.21796614,0.75198656,0.8189628,1.3257183,0.2743185,13
62,0.36654103,0.15386173,0.41255265,0.66450465,0.15432589,14
63,0.28889444,0.5843697,1.2041905,0.66310096,0.18128458,15
64,0.19849868,0.60614896,0.83519983,0.61865026,0.35125133,16
65,0.1901975,0.63779515,1.0856534,0.64277035,0.240998,17
66,0.20672789,0.6310124,0.9397696,1.7006246,0.19498618,18
67,0.38741854,0.6208525,0.4630043,0.55493444,0.1655358,19
68,0.2570974,0.76444197,2.1207495,0.5293646,0.13049883,20
69,0.22373824,0.6199031,1.6247753,2.615273,0.19804582,21
70,0.1716284,0.7636055,1.8289123,0.8963398,0.21292683,22
71,0.19702908,0.66297865,0.7624045,0.4877464,0.29666543,23
72,0.18835278,0.6482711,1.249994,0.7507491,0.072998405,0
73,0.28313798,0.77528197,0.6955178,0.54736316,0.13665576,1
74,0.36232224,0.82691234,1.623868,1.146275,0.20570889,2
75,0.2108235,0.66403437,1.0996945,0.62813914,0.48604923,3
76,0.23046163,0.492949,0.2600747,1.5174618,0.35049674,4
77,0.10297809,0.25785217,2.2060943,0.790748,0.066378675,5
78,0.24129513,0.76860386,1.0284038,0.77949303,0.09014171,6
79,0.32567012,0.62344134,0.77937734,0.6329746,0.22078684,7
