,discount,learning rate,mf weight,mb weight,repetition,subject
45,0.03315444,0.66664004,0.9376552,2.6694696,0.06777375,21
46,0.30492088,0.7512234,0.715346,0.9645919,0.82739025,22
47,0.32794434,0.6004927,1.7240129,0.56326777,0.9231803,23
48,0.17769715,0.7658831,0.6610763,1.4396371,0.05358546,0
49,0.4178316,0.7763598,0.5558161,0.9691792,0.07477202,1
50,0.15031044,0.89137983,1.0316489,5.263007,0.32653055,2
51,0.5267566,0.8513774,1.0522484,4.5566926,0.037078824,3
52,0.24491978,0.8945295,1.6922572,4.7464848,0.22616087,4
53,0.70893127,0.69976723,0.28882936,0.35740092,0.17107207,5
54,0.13661174,0.113705896,0.5273061,0.83721817,0.045742564,6
55,0.35231486,0.8402693,0.59416586,1.3105961,0.07375008,7
56,0.19532475,0.7277368,0.44081953,0.4319983,0.028229397,8
57,0.7702486,0.85741836,1.8303198,3.1370935,0.038324848,9
58,0.17724097,0.67585814,0.9646621,0.44135195,0.057267003,10
59,0.42354205,0.51164216,0.4135657,3.3491106,0.75260013,11
60,0.28061467,0.76615834,1.0918503,2.150712,0.93144566,12
61,0.12651886,0.86984783,1.7209547,3.882092,0.036902346,13
62,0.195962,0.28470495,0.5327134,0.38111043,0.063395515,14
63,0.7587384,0.8429161,2.9960787,1.6858809,0.86498684,15
64,0.38374928,0.7066325,1.6026156,0.46669087,0.13231853,16
65,0.15052272,0.73816335,0.7057133,5.2781134,0.041882727,17
66,0.16014118,0.82960737,0.8251343,0.32369906,0.061476853,18
67,0.08557471,0.8470152,1.051545,5.1754165,0.06738787,19
68,0.061257552,0.7175969,1.144446,3.2289033,0.28328803,20
69,0.25978184,0.7700907,1.5411923,2.747773,0.037775572,21
70,0.37022218,0.72131366,1.1095779,1.0599083,0.69315016,22
71,0.5026002,0.82142574,0.9757291,1.6979365,0.7617254,23
72,0.20482454,0.6060445,0.8192476,1.4587053,0.15355393,0
73,0.3448705,0.50276756,0.43646348,0.39948243,0.22246143,1
74,0.2264814,0.8425135,0.82329416,5.359393,0.16213663,2
