,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
138,0.26044053,138,0.5112376,1.9649565,3.9141686,0.17443195
139,0.25400022,139,0.7559867,1.528028,1.050713,0.18432982
140,0.5525231,140,0.112578325,3.8129354,3.7532623,0.45855975
141,0.2696534,141,0.6447246,1.6447937,3.7453377,0.1706163
142,0.7296833,142,0.72862226,3.7376544,1.6570761,0.14958316
143,0.6888502,143,0.70832145,3.886287,2.359674,0.4100097
144,0.59735936,144,0.11006994,3.3778985,2.2905755,0.4810205
145,0.60526943,145,0.17902294,3.9216201,2.976946,0.4501609
146,0.2835806,146,0.24859515,2.3550196,4.526757,0.3555235
147,0.28970605,147,0.35173267,2.2050357,4.7507887,0.26839536
148,0.5235393,148,0.7648126,2.1560748,1.3719789,0.20171319
149,0.19715011,149,0.27427387,1.8098596,4.6991897,0.38521087
150,0.56224465,150,0.5113673,3.8369615,2.4535255,0.24200116
151,0.2716189,151,0.66463256,2.1498718,2.5768437,0.1462001
152,0.38525805,152,0.6497944,2.2005804,2.0058854,0.16835283
153,0.53285795,153,0.7729119,2.5097094,2.040891,0.18653473
154,0.5860607,154,0.6789879,3.144111,2.7125251,0.2022904
155,0.7187533,155,0.76288205,3.5410204,1.5041823,0.1904079
156,0.2652649,156,0.7750616,1.5173962,4.085547,0.17152366
157,0.6974333,157,0.5979756,3.9963603,3.1290889,0.28759697
158,0.52838904,158,0.51478755,2.9320722,4.2642274,0.25556755
159,0.5516312,159,0.09254899,4.0639405,4.0929794,0.45542502
160,0.23100391,160,0.7599917,1.1684648,1.6234714,0.12388152
161,0.7007252,161,0.30243176,2.5365133,1.0170566,0.42746365
162,0.6711541,162,0.69574636,3.3190875,2.3058383,0.25850314
163,0.24202713,163,0.46218902,1.9074018,4.9730372,0.12420154
164,0.5235388,164,0.10677744,3.649457,4.3412604,0.46533185
165,0.69649965,165,0.76321167,2.6283388,1.3790262,0.16469379
166,0.61192393,166,0.55282587,3.5902114,2.8885884,0.22277771
167,0.56769246,167,0.08195994,3.9995751,3.9521387,0.4658327
168,0.2661652,168,0.14566211,2.817753,4.479027,0.4069361
169,0.22742583,169,0.5923898,1.2873354,0.97610086,0.129888
170,0.6466938,170,0.35234532,3.5220869,3.7132926,0.2568941
171,0.3762185,171,0.7403871,1.9466003,3.8560948,0.31366032
172,0.34977075,172,0.7231656,1.8498821,1.7613742,0.44167605
173,0.25590295,173,0.51351243,1.8954235,5.0774894,0.15963449
174,0.35298833,174,0.5318185,2.496229,4.2234726,0.19174865
175,0.47596258,175,0.5446698,3.3884845,3.2671268,0.23243585
176,0.40515497,176,0.67923015,3.0150785,2.3946872,0.21283345
177,0.7688396,177,0.5648513,3.7738576,1.929811,0.4213402
178,0.39170665,178,0.7117054,2.3074887,2.2511895,0.13437128
179,0.4461299,179,0.10230545,3.5576699,4.455849,0.43619895
180,0.7189984,180,0.5708215,3.9700298,2.8276188,0.4775601
181,0.44847187,181,0.7173881,2.8328438,1.9395647,0.14810824
182,0.24425778,182,0.75497776,1.5294439,2.779601,0.12434228
183,0.20274179,183,0.3875554,2.697827,2.4063687,0.3325637
184,0.48316047,184,0.56011486,1.5117779,1.0086884,0.24684869
185,0.18287933,185,0.47170228,1.9043356,1.2783588,0.1160657
186,0.24800766,186,0.32103053,2.1355634,2.9385214,0.25954822
187,0.27115253,187,0.73718345,1.6869746,4.9660783,0.13101913
