,rewarded,common,stayed,valid
130,unrewarded,rare,1,True
131,unrewarded,rare,1,True
132,unrewarded,common,1,True
133,rewarded,common,1,True
134,rewarded,common,1,True
135,unrewarded,common,1,True
136,rewarded,common,1,True
137,unrewarded,rare,1,True
138,unrewarded,rare,1,True
139,unrewarded,rare,1,True
140,rewarded,common,1,True
141,rewarded,common,1,True
142,unrewarded,common,1,True
143,rewarded,common,1,True
144,unrewarded,common,1,True
145,rewarded,common,1,True
146,rewarded,common,1,True
147,rewarded,common,1,True
148,rewarded,common,1,True
149,unrewarded,common,1,True
150,unrewarded,common,1,True
151,unrewarded,common,1,True
152,unrewarded,common,0,True
153,unrewarded,common,1,True
154,unrewarded,rare,0,True
155,unrewarded,common,1,True
156,rewarded,rare,1,True
157,rewarded,common,1,True
158,rewarded,common,1,True
159,rewarded,common,0,True
160,rewarded,common,0,True
161,rewarded,common,1,True
162,rewarded,common,0,True
163,rewarded,common,0,True
164,rewarded,common,1,True
165,unrewarded,common,1,True
166,rewarded,rare,1,True
167,unrewarded,rare,1,True
168,unrewarded,common,1,True
169,unrewarded,rare,1,True
170,rewarded,rare,1,True
171,unrewarded,rare,1,True
172,unrewarded,common,1,True
173,unrewarded,rare,1,True
174,rewarded,common,1,True
175,rewarded,common,1,True
176,unrewarded,rare,1,True
177,unrewarded,common,1,True
178,unrewarded,common,1,True
179,rewarded,rare,1,True
180,unrewarded,common,1,True
181,rewarded,common,0,True
182,rewarded,common,1,True
183,unrewarded,common,1,True
184,rewarded,common,0,True
185,unrewarded,rare,1,True
186,rewarded,common,1,True
187,rewarded,common,1,True
188,rewarded,common,1,True
189,rewarded,common,1,True
190,rewarded,common,1,True
191,rewarded,common,1,True
192,unrewarded,common,1,True
193,unrewarded,common,1,True
194,unrewarded,rare,0,True
195,rewarded,rare,1,True
196,rewarded,common,0,True
197,rewarded,rare,1,True
198,unrewarded,common,0,True
199,rewarded,common,0,True
200,rewarded,common,1,True
201,unrewarded,rare,0,False
202,unrewarded,rare,0,False
203,unrewarded,rare,0,False
204,unrewarded,rare,0,False
205,unrewarded,rare,0,False
206,unrewarded,rare,0,False
207,unrewarded,rare,0,False
208,unrewarded,rare,0,False
209,unrewarded,rare,0,False
210,unrewarded,rare,0,False
211,unrewarded,rare,0,False
212,unrewarded,rare,0,False
213,unrewarded,rare,0,False
214,unrewarded,rare,0,False
215,unrewarded,rare,0,False
216,unrewarded,rare,0,False
217,unrewarded,rare,0,False
218,unrewarded,rare,0,False
219,unrewarded,rare,0,False
220,unrewarded,rare,0,False
221,unrewarded,rare,0,False
222,unrewarded,rare,0,False
223,unrewarded,rare,0,False
224,unrewarded,rare,0,False
225,unrewarded,rare,0,False
226,unrewarded,rare,0,False
227,unrewarded,rare,0,False
228,unrewarded,rare,0,False
229,unrewarded,rare,0,False
230,unrewarded,rare,0,False
231,unrewarded,rare,0,False
232,unrewarded,rare,0,False
233,unrewarded,rare,0,False
234,unrewarded,rare,0,False
235,unrewarded,rare,0,False
236,unrewarded,rare,0,False
237,unrewarded,rare,0,False
238,unrewarded,rare,0,False
239,unrewarded,rare,0,False
240,unrewarded,rare,0,False
241,unrewarded,rare,0,False
242,unrewarded,rare,0,False
243,unrewarded,rare,0,False
244,unrewarded,rare,0,False
245,unrewarded,rare,0,False
246,unrewarded,rare,0,False
247,unrewarded,rare,0,False
248,unrewarded,rare,0,False
249,unrewarded,rare,0,False
250,unrewarded,rare,0,False
251,unrewarded,rare,0,False
252,unrewarded,rare,0,False
253,unrewarded,rare,0,False
254,unrewarded,rare,0,False
255,unrewarded,rare,0,False
256,unrewarded,rare,0,False
257,unrewarded,rare,0,False
258,unrewarded,rare,0,False
259,unrewarded,rare,0,False
260,unrewarded,rare,0,False
261,unrewarded,rare,0,False
262,unrewarded,rare,0,False
263,unrewarded,rare,0,False
264,unrewarded,rare,0,False
265,unrewarded,rare,0,False
266,unrewarded,rare,0,False
267,unrewarded,rare,0,False
268,unrewarded,rare,0,False
269,unrewarded,rare,0,False
270,unrewarded,rare,0,False
271,unrewarded,rare,0,False
