,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
122,0.28513533,122,0.7097523,1.8899772,2.2177906,0.21000125
123,0.2530831,123,0.6675695,1.2198788,1.0086393,0.18269229
124,0.38998243,124,0.54685825,2.0947056,2.455845,0.36793092
125,0.568036,125,0.613505,1.6716403,1.2649597,0.7194874
126,0.32841873,126,0.59835976,1.6402012,1.4591659,0.25560588
127,0.7535607,127,0.3999124,2.809622,1.2689263,0.70227855
128,0.27884826,128,0.6755107,1.3379331,1.1420043,0.20223035
129,0.27669138,129,0.664761,1.1655161,0.98376024,0.19254823
130,0.3638212,130,0.472734,3.3000228,2.0307684,0.7677321
131,0.30778345,131,0.70343506,1.6637044,2.0187907,0.26420948
132,0.36470473,132,0.6746228,1.8300816,1.982207,0.48424333
133,0.30103502,133,0.65080494,1.8202678,1.5516635,0.23737799
134,0.45737875,134,0.47402668,1.6201948,1.2124177,0.67276394
135,0.27213627,135,0.6265969,1.6760428,1.2096783,0.18497159
136,0.37282422,136,0.6642567,2.0622363,2.0931993,0.36355722
137,0.37802643,137,0.6177316,1.7776345,1.4838406,0.3325584
138,0.34195143,138,0.63562304,1.9042286,1.7159238,0.23708689
139,0.34651783,139,0.5945768,1.4735701,1.124425,0.3549976
140,0.35703325,140,0.67649513,1.3518353,1.1179059,0.36222222
141,0.40852353,141,0.62313306,2.1709855,2.4305158,0.334112
142,0.29623997,142,0.68941724,1.4916794,1.782343,0.26568872
143,0.27466863,143,0.7054134,1.2448983,1.0855317,0.18520498
144,0.30970612,144,0.6770201,1.4084373,1.1361611,0.22041473
145,0.3171925,145,0.6574421,1.4316949,1.1853628,0.21422446
146,0.34154558,146,0.69747376,1.4708599,1.2032664,0.24055213
147,0.48736525,147,0.65632856,1.814989,1.3039742,0.75127494
148,0.33768663,148,0.6458595,1.8418752,2.6320152,0.43154675
149,0.30898827,149,0.6947362,1.7145678,1.8079981,0.26307315
150,0.38862935,150,0.4473156,2.2037582,1.7050823,0.7407051
151,0.32922438,151,0.63058907,1.9507058,2.7869987,0.4055976
152,0.27297541,152,0.6938522,1.2939696,1.0732605,0.20601672
153,0.29754704,153,0.58553946,1.7570442,1.2446694,0.2109318
154,0.3242244,154,0.58688927,1.88832,1.2507119,0.29535407
155,0.2814019,155,0.663594,1.1991562,1.0165442,0.18997361
156,0.3631381,156,0.59314454,1.3485019,1.1624774,0.6335599
157,0.2675944,157,0.6749048,1.3316511,1.1361531,0.18827234
158,0.49446797,158,0.66428995,1.5974975,1.2582234,0.7852788
159,0.32298806,159,0.60824585,1.9828013,2.5794659,0.36693376
160,0.35489488,160,0.5846406,1.6326799,1.1762754,0.6494122
161,0.40754512,161,0.53555125,1.5551773,1.2385371,0.7830986
162,0.26422504,162,0.6185793,1.422594,1.1563518,0.18869995
163,0.33506945,163,0.5505896,1.6631628,1.1205899,0.53636605
164,0.2898663,164,0.6832875,1.414301,1.1168281,0.19155811
165,0.39596182,165,0.56832194,2.205382,1.8354858,0.29759607
166,0.35372636,166,0.6389159,1.3048741,1.1452334,0.4843601
167,0.32652894,167,0.6242335,1.3759308,1.1296132,0.20639873
168,0.3321516,168,0.564277,1.5274493,1.3079238,0.33474475
169,0.3349658,169,0.6054105,2.0885806,2.6570559,0.48383605
170,0.26092377,170,0.69326115,1.3848828,1.07224,0.22592105
171,0.7104477,171,0.6227805,1.8808079,1.30531,0.7708135
172,0.3539262,172,0.63006115,2.0284197,1.5268223,0.26222396
173,0.38075915,173,0.6381962,1.8713565,1.7708906,0.56031597
174,0.29536647,174,0.63959336,1.5496583,1.214894,0.22939795
175,0.283158,175,0.6551599,1.4113823,1.0892425,0.23627964
176,0.25273478,176,0.6584921,1.4837998,1.155864,0.18022321
177,0.4322383,177,0.5908215,2.1777973,2.0146585,0.7572984
178,0.403493,178,0.6287398,1.9550112,2.2611046,0.63491493
179,0.52162325,179,0.5380152,2.8418388,2.2179594,0.6680016
180,0.30722064,180,0.59705967,1.5578473,1.0735185,0.22455072
181,0.29411954,181,0.65436816,1.3736298,1.0963879,0.2437153
182,0.38963184,182,0.6386784,1.8108469,1.3477622,0.72868794
183,0.26748374,183,0.68166816,1.3031905,1.0852153,0.17783561
184,0.33004987,184,0.63538146,2.459542,2.6087353,0.75395614
185,0.3470678,185,0.6292683,2.250441,4.084545,0.39000103
186,0.34589157,186,0.623624,2.086469,2.6968913,0.221278
187,0.36269984,187,0.6908108,1.6242405,1.216594,0.3023233
