,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
97,0.50218123,97,0.5129216,3.0903878,2.9722426
98,0.48833588,98,0.49276775,3.0262144,2.9269047
99,0.5029614,99,0.5040765,3.0361211,2.9637268
100,0.49368736,100,0.5108833,3.0154467,3.0940874
101,0.4871826,101,0.49740303,2.9657133,2.9603589
102,0.49770793,102,0.52472496,3.0286474,2.9709086
103,0.49057427,103,0.5078612,3.0344334,2.981833
104,0.49579218,104,0.5087905,2.9163008,2.899771
105,0.5016252,105,0.504881,3.012851,3.0059266
106,0.49963397,106,0.5064909,3.0511522,3.0792308
107,0.5104993,107,0.5010085,2.9523566,2.9182804
108,0.5252429,108,0.5030293,3.0086265,3.0200992
109,0.48526737,109,0.5042007,3.0115213,2.968474
110,0.49090573,110,0.502202,3.0139697,2.9596074
111,0.49831042,111,0.47985065,2.9732807,2.9529035
112,0.50205827,112,0.5109453,3.0200918,2.8929648
113,0.49622637,113,0.519641,2.9817543,3.005545
114,0.48424426,114,0.5071543,3.002705,2.9225767
115,0.4946062,115,0.5143893,2.9371803,2.9826534
116,0.514667,116,0.5024609,2.9519043,2.989611
117,0.5004678,117,0.50836354,3.0017607,2.932963
118,0.49059027,118,0.49978906,2.9152822,2.922665
119,0.49082947,119,0.52587795,3.0146565,3.0770557
120,0.4803096,120,0.5088123,2.9524534,3.009296
121,0.5079,121,0.5005846,3.0713003,3.012267
122,0.49584368,122,0.49852324,2.887221,3.0234914
123,0.5043452,123,0.5077154,2.9199727,2.9866016
124,0.4936616,124,0.49629506,2.9740586,2.8775551
125,0.49993297,125,0.5055263,3.0256817,2.8623366
126,0.4915146,126,0.49806774,2.9599814,3.0011349
127,0.48181415,127,0.500704,2.927584,3.0204763
128,0.47650024,128,0.5056817,2.9325986,3.061147
129,0.5032622,129,0.50451696,3.0119896,2.8627896
130,0.4733442,130,0.503606,3.0012949,2.9530115
131,0.49498102,131,0.49455586,2.9889605,3.060649
132,0.50523716,132,0.49940893,2.8995268,2.9592018
133,0.4767696,133,0.49184063,2.95828,2.9138653
134,0.49930474,134,0.50418454,3.00956,2.9107802
135,0.48985362,135,0.52312046,2.9927838,2.92827
136,0.491122,136,0.49852455,2.9727511,2.932927
137,0.4918303,137,0.4978843,2.8623393,3.092811
138,0.49249035,138,0.5001993,2.9957285,2.9568627
139,0.48935467,139,0.500429,3.0845249,2.9737911
140,0.49046984,140,0.5065017,2.9920948,2.9804509
141,0.49517798,141,0.5147976,3.0463178,3.0525694
142,0.5052685,142,0.50679153,2.9148512,2.9494658
143,0.50496984,143,0.5049273,3.0258827,2.9170392
144,0.51002395,144,0.4946819,3.0248742,2.9303882
145,0.48018098,145,0.5063417,2.9571123,3.0029879
146,0.49774316,146,0.5098596,2.9567208,2.885332
147,0.4903606,147,0.5171025,2.9796205,3.022845
148,0.47925293,148,0.48541412,2.9851394,2.936842
149,0.50322074,149,0.4965687,3.0065668,2.9766452
150,0.49010235,150,0.50281763,3.0447745,2.9456608
151,0.5117999,151,0.50274926,2.8641293,2.9581053
152,0.4847124,152,0.49484703,2.9107144,2.890338
153,0.49342164,153,0.50296706,2.9896631,3.0075493
154,0.49601036,154,0.51978403,3.0286622,2.996354
155,0.50321996,155,0.50589746,3.0330195,2.9816449
156,0.49410078,156,0.50369775,3.0728517,2.9398823
157,0.49231085,157,0.5143496,2.9649785,3.0139782
158,0.4830505,158,0.50992185,3.0866332,2.9849339
159,0.50902855,159,0.5010262,2.9278495,2.9470031
160,0.5089443,160,0.48269287,2.9496288,2.8740396
161,0.4957491,161,0.50594157,2.9600723,2.9105935
162,0.48945042,162,0.5027431,2.9070141,2.931547
163,0.4991832,163,0.51039296,3.0354314,2.9827914
164,0.48137167,164,0.4847057,2.9958754,3.0064642
165,0.49782345,165,0.49484515,3.0174043,3.0400434
166,0.4967204,166,0.49095553,2.9572854,2.929271
167,0.4847262,167,0.504239,2.9365509,2.9849975
168,0.5101303,168,0.49799806,3.074433,2.9340572
169,0.49077886,169,0.5157854,2.9012227,2.9165404
170,0.49612486,170,0.52376205,2.9028409,3.0020254
171,0.49704975,171,0.5020189,3.051309,2.9427898
172,0.5121021,172,0.49774903,2.931381,2.964369
173,0.51265246,173,0.50792515,2.985187,3.0002809
174,0.50582373,174,0.4820124,2.9655573,3.029453
175,0.48978612,175,0.48910493,2.88281,2.988304
176,0.48184094,176,0.5210024,2.9903302,3.0070062
177,0.5078569,177,0.5018686,2.9908736,3.007666
178,0.5011227,178,0.4921306,2.996754,2.9095874
179,0.5046558,179,0.5101201,2.9736826,3.0585866
180,0.49895528,180,0.5131501,2.8743598,3.0256126
181,0.49783066,181,0.49518976,3.0376368,2.9775786
182,0.4833806,182,0.49813244,2.9935424,3.0104284
183,0.50513965,183,0.51388586,2.997186,3.0048616
184,0.5040962,184,0.48555616,2.8941529,3.0580971
185,0.499365,185,0.49790516,2.8961368,2.901201
186,0.49009356,186,0.49019825,2.9593668,2.8970902
187,0.50522,187,0.5170917,2.973931,2.9346933
