,discount,learning rate,mf weight,mb weight,subject,true discount,inferred discount,true learning rate,inferred learning rate,true mf weight,inferred mf weight,true mb weight,inferred mb weight
18940,0.20364562,0.2046631,0.17785485,3.1813674,40,0.068210185,0.19224767,0.40949064,0.3525084,5.263585,2.0274453,5.10722,5.112011
18941,0.80935633,0.6425655,1.9698496,2.4048038,41,0.5762577,0.6956764,0.7048342,0.62992376,3.3352942,2.2919376,0.37677133,1.5891892
18942,0.36749756,0.57294875,2.7237027,2.528059,42,0.3977363,0.4501963,0.586761,0.63054335,2.9976969,2.9297316,3.272117,3.855044
18943,0.78230816,0.08776431,3.1392798,2.996617,43,0.45615906,0.5608453,0.04345858,0.085803926,5.4495735,3.8864045,4.153381,3.5769477
18944,0.57379216,0.6709465,1.4315344,0.4927739,44,0.5961824,0.61169094,0.986593,0.83113647,3.0212722,2.6153705,1.872198,1.3093991
18945,0.8654502,0.78452784,4.853498,1.4422096,45,0.90195507,0.76847625,0.65988433,0.72020185,3.8244696,4.452497,0.20849097,2.123478
18946,0.6431916,0.15773383,2.2726724,4.817769,46,0.124061644,0.30643594,0.10732764,0.12818949,4.0994177,3.1957114,0.005280733,2.5308003
18947,0.17918609,0.71350324,0.4014998,0.83310366,47,0.06435162,0.19849758,0.860598,0.76514107,1.0809935,1.1323386,0.55274,0.97900844
18948,0.5102573,0.64012265,1.9022293,1.6164007,48,0.22109681,0.4824445,0.89868003,0.7226183,5.815591,2.910898,2.117046,1.4430195
18949,0.56284475,0.25933266,5.5570374,3.2053864,49,0.9583124,0.65604895,0.31414592,0.24940701,5.165711,4.0526195,4.4634795,3.138546
18950,0.7979099,0.55421764,4.0481944,2.287518,0,0.92978925,0.7950751,0.72846437,0.6108871,5.8300567,4.535428,2.053999,2.1444511
18951,0.19775772,0.9178664,0.87006354,1.7194337,1,0.10158658,0.18877105,0.8516699,0.7834003,1.6539434,1.0787475,0.82444847,1.0201395
18952,0.35179916,0.37113118,2.4335084,3.2993052,2,0.5100246,0.31441668,0.3487808,0.41053307,1.0886478,3.246451,3.8731656,4.3141456
18953,0.354752,0.46035504,2.3275928,3.2255478,3,0.20072603,0.3705862,0.4966032,0.54337645,5.106858,3.5128815,1.2571095,2.0030417
18954,0.13647097,0.6210145,3.975357,4.393079,4,0.5636237,0.3992468,0.5915639,0.59961,1.1047064,2.4198163,5.057411,4.69016
18955,0.16490796,0.2010055,0.48059416,1.7026908,5,0.08224088,0.13952766,0.2007947,0.2395579,0.3191929,1.0988104,1.8089586,1.8138667
18956,0.86410093,0.8318154,5.315591,4.312219,6,0.6974948,0.81844556,0.7855255,0.7395788,5.360653,4.5570693,2.7254667,1.4402468
18957,0.07003284,0.116371796,0.6617425,0.48543364,7,0.010758042,0.06142054,0.15983975,0.19501643,4.6170077,1.9639388,0.893319,1.4054686
18958,0.46563923,0.6459744,2.7093947,5.740143,8,0.2935878,0.29167584,0.5445034,0.54802674,3.1822925,2.8042734,5.1143513,4.9681425
18959,0.6426781,0.09887246,3.4327931,1.5211945,9,0.5453103,0.53567386,0.13225424,0.11366851,5.209705,3.6818197,2.3316028,3.6639912
