,subject,rewarded common,rewarded rare,unrewarded common,unrewarded rare
0,88,0.71875,0.6875,0.826530612244898,0.7209302325581395
0,89,0.5151515151515151,0.36363636363636365,0.53,0.5333333333333333
0,90,0.967741935483871,0.36363636363636365,0.5673076923076923,0.8113207547169812
0,91,0.8125,0.4,0.47706422018348627,0.6530612244897959
0,92,0.6060606060606061,0.7142857142857143,0.5137614678899083,0.6585365853658537
0,93,1.0,0.9375,0.8617021276595744,0.9344262295081968
0,94,0.9459459459459459,0.5454545454545454,0.7735849056603774,0.7608695652173914
0,95,0.7586206896551724,0.6153846153846154,0.6071428571428571,0.7954545454545454
0,96,0.8709677419354839,0.8,0.6371681415929203,0.5609756097560976
0,97,1.0,1.0,1.0,1.0
0,98,0.9655172413793104,0.5454545454545454,0.6194690265486725,0.7441860465116279
0,99,0.9696969696969697,0.8,0.8899082568807339,0.7714285714285715
0,100,0.4857142857142857,0.5555555555555556,0.5428571428571428,0.631578947368421
0,101,0.9,0.9,0.7521367521367521,0.8809523809523809
0,102,0.6363636363636364,0.8666666666666667,0.5137614678899083,0.5609756097560976
0,103,0.6363636363636364,0.5882352941176471,0.6055045871559633,0.425
0,104,0.8888888888888888,0.9444444444444444,0.72,0.8181818181818182
0,105,0.7906976744186046,0.5625,0.7474747474747475,0.6097560975609756
0,106,0.5,0.23076923076923078,0.46296296296296297,0.3870967741935484
0,107,0.6052631578947368,0.9,0.6116504854368932,0.5714285714285714
0,108,0.45714285714285713,0.5333333333333333,0.3939393939393939,0.6170212765957447
0,109,0.8888888888888888,0.5,0.7766990291262136,0.7872340425531915
0,110,0.7333333333333333,0.6,0.5847457627118644,0.46153846153846156
0,111,0.967741935483871,0.8333333333333334,0.8073394495412844,0.8163265306122449
0,112,0.5384615384615384,0.6666666666666666,0.5510204081632653,0.47619047619047616
0,113,0.9666666666666667,0.5,0.8113207547169812,0.9
0,114,0.3235294117647059,0.5,0.5855855855855856,0.6666666666666666
0,115,0.3939393939393939,0.7333333333333333,0.6435643564356436,0.5686274509803921
0,116,0.6285714285714286,0.6666666666666666,0.5431034482758621,0.5675675675675675
0,118,0.5789473684210527,0.4117647058823529,0.5588235294117647,0.5384615384615384
0,119,0.5483870967741935,0.5294117647058824,0.48,0.56
0,120,0.42424242424242425,0.35714285714285715,0.5175438596491229,0.4117647058823529
0,121,0.7222222222222222,0.7272727272727273,0.4125,0.5714285714285714
0,122,0.9375,0.6666666666666666,0.6213592233009708,0.9411764705882353
0,123,0.9393939393939394,0.2,0.5,0.6851851851851852
0,124,0.5666666666666667,0.2727272727272727,0.3977272727272727,0.3548387096774194
0,125,1.0,0.5294117647058824,0.6086956521739131,0.9636363636363636
0,126,0.875,0.875,0.8571428571428571,0.9090909090909091
0,127,0.8571428571428571,0.5555555555555556,0.5841584158415841,0.6923076923076923
0,128,1.0,1.0,1.0,1.0
0,129,0.5806451612903226,0.3076923076923077,0.5145631067961165,0.5681818181818182
0,130,0.48484848484848486,0.7857142857142857,0.4528301886792453,0.6341463414634146
0,131,0.9722222222222222,0.9090909090909091,0.94,0.8846153846153846
0,132,0.9375,0.05555555555555555,0.6355140186915887,0.7073170731707317
0,133,1.0,0.35714285714285715,0.7238095238095238,0.7954545454545454
0,134,0.7142857142857143,0.375,0.6355140186915887,0.6041666666666666
0,135,0.8888888888888888,0.7692307692307693,0.8787878787878788,0.8297872340425532
0,136,0.7692307692307693,0.6428571428571429,0.37962962962962965,0.5
0,137,1.0,0.5,0.6410256410256411,0.9
0,138,0.8666666666666667,0.7272727272727273,0.6237623762376238,0.7291666666666666
0,139,0.8064516129032258,0.5,0.6481481481481481,0.5531914893617021
0,140,0.8235294117647058,0.7777777777777778,0.61,0.723404255319149
0,141,0.6785714285714286,0.5714285714285714,0.6851851851851852,0.6956521739130435
0,142,0.9444444444444444,0.5714285714285714,0.6732673267326733,0.8260869565217391
0,143,0.9666666666666667,0.125,0.6542056074766355,0.5555555555555556
0,144,0.5263157894736842,0.14285714285714285,0.39759036144578314,0.5333333333333333
0,145,0.71875,0.6,0.5420560747663551,0.5909090909090909
0,146,0.782608695652174,0.5,0.5370370370370371,0.5416666666666666
0,147,0.8275862068965517,0.5,0.5462184873949579,0.6744186046511628
