,policy rate,reward rate,dec temp,habitual tendency,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp,true habitual tendency,inferred habitual tendency
23965,0.53637123,0.8505581,3.2456768,0.8646773,15,0.63356876,0.6411821,0.88329107,0.7913945,4.1954064,3.2517922,0.9163251,0.85074556
23966,0.6013915,0.6949031,2.1315746,0.71549267,16,0.94470656,0.8203727,0.7829274,0.6965868,1.7188342,2.0140233,0.7120258,0.6826067
23967,0.1745901,0.69790286,6.200421,0.32310784,17,0.0049479604,0.32760283,0.5516215,0.60965735,2.567666,3.0485022,0.5327642,0.22142205
23968,0.40490335,0.16551502,2.1321993,0.20528169,18,0.48721844,0.5318818,0.098611474,0.13493438,2.2573977,2.563109,0.22086412,0.14787628
23969,0.3806483,0.736246,4.4361787,0.13238591,19,0.13897735,0.29593694,0.38902336,0.6516703,2.5394442,2.6720214,0.90956634,0.7011134
23970,0.69617933,0.5605951,6.016571,0.36232427,20,0.77958024,0.592863,0.53021646,0.52499294,6.7652407,5.5775633,0.8130783,0.56170386
23971,0.655068,0.29528183,3.5776672,0.34312594,21,0.26070565,0.3754117,0.6680133,0.3930567,5.3281307,4.183738,0.53978044,0.30415246
23972,0.15321569,0.51325184,2.011674,0.092616424,22,0.11648238,0.14466052,0.4268036,0.5794008,2.597178,3.3561354,0.92653316,0.6051985
23973,0.47457713,0.36189225,3.2790968,0.44856036,23,0.22188091,0.5615824,0.41881877,0.38839152,4.699958,4.138864,0.23160917,0.481174
23974,0.12445204,0.7838395,6.6705065,0.50226456,24,0.44340914,0.42096633,0.57273144,0.67272764,5.076198,6.200191,0.79868376,0.5761354
23975,0.9545224,0.0868206,3.8510294,0.42027575,25,0.6740664,0.74810684,0.24491507,0.18543401,5.3693852,4.534276,0.52231336,0.55521595
23976,0.44197503,0.8269046,4.2301846,0.7589216,26,0.7606486,0.44022825,0.7150698,0.70965326,3.346636,2.469898,0.93410194,0.532144
23977,0.8733866,0.21966901,7.356181,0.12701957,27,0.29702747,0.6618417,0.3833328,0.32009003,5.0001607,6.670544,0.18854415,0.20215338
23978,0.38762608,0.33320048,6.4476867,0.40281412,28,0.5225805,0.46367824,0.3601607,0.42744523,4.926164,5.634919,0.6750629,0.30528015
23979,0.2423881,0.6725164,1.7329098,0.36722076,29,0.25875527,0.35120013,0.48496366,0.7073642,1.1027529,1.8870395,0.36350018,0.3712208
23980,0.9184816,0.6258403,2.6942933,0.096340775,30,0.6179895,0.5925059,0.5174321,0.53668994,2.2154722,2.8488512,0.13518286,0.21600115
23981,0.43466398,0.43994486,1.1409545,0.12499565,31,0.55647236,0.53419095,0.85770285,0.67492884,1.309568,1.6376799,0.07021934,0.15677246
23982,0.7273842,0.29180196,4.958044,0.891092,32,0.434308,0.6108175,0.5388506,0.2988979,6.950209,5.4765654,0.8654447,0.8238579
23983,0.639951,0.836111,4.4719625,0.052978985,33,0.7131536,0.68276095,0.63897735,0.6905576,3.8588507,2.7308037,0.2877097,0.3079328
23984,0.798177,0.2995825,2.9241052,0.1924758,34,0.2646432,0.39338437,0.6889816,0.5451654,6.645124,4.6880655,0.23830009,0.32777917
23985,0.5209613,0.75728655,5.529802,0.77156323,35,0.50924104,0.5341545,0.7668203,0.6948941,3.1120348,4.250472,0.6364869,0.6353578
23986,0.6077096,0.44552976,3.6061616,0.33645597,36,0.9817239,0.64263296,0.7940237,0.5155729,3.0653806,4.37527,0.9464425,0.41512316
23987,0.40357164,0.41898754,4.4399595,0.088266686,37,0.5527359,0.5387786,0.32525927,0.4284071,4.8317733,5.062106,0.05611396,0.12341212
23988,0.726925,0.36165985,2.2628107,0.4626324,38,0.5969322,0.69710475,0.3403291,0.4671468,3.8648877,4.1540556,0.7848072,0.64635426
23989,0.28805646,0.47345412,6.182987,0.46243694,39,0.47846323,0.51199037,0.40608037,0.4987276,6.4477005,6.638764,0.6439919,0.7067361
23990,0.20028102,0.67155874,5.9888315,0.7742436,40,0.24001819,0.2668621,0.6832051,0.56920034,5.632673,5.4308085,0.82425606,0.69016397
23991,0.54778904,0.22910169,3.0685248,0.0740775,41,0.28274637,0.50734484,0.13823956,0.19002615,2.1127577,3.0506456,0.29502183,0.17132224
23992,0.8480705,0.5485555,3.7373683,0.4969359,42,0.8317952,0.5833698,0.5540806,0.5741327,4.096379,4.474902,0.3889482,0.23552789
23993,0.47658128,0.5219231,2.6575456,0.8454462,43,0.8230114,0.55954385,0.03629434,0.19106592,2.7074664,2.1467705,0.92122144,0.8189309
23994,0.19519593,0.649245,3.5134747,0.77154803,44,0.3056441,0.17411609,0.018754244,0.79398096,1.5486258,3.5487545,0.9588038,0.81917405
23995,0.74417824,0.90396744,2.3449154,0.1332691,45,0.35319793,0.6593346,0.8172555,0.7276926,5.298374,2.2755966,0.21745354,0.4021879
23996,0.08119997,0.238878,5.0231256,0.42699686,46,0.7015409,0.45484406,0.5020495,0.26679188,5.990258,4.400322,0.3002805,0.5984307
23997,0.45213974,0.24005944,6.3006015,0.41306132,47,0.88831097,0.48247796,0.2046107,0.20331985,6.272718,5.6966934,0.4222597,0.38486615
23998,0.057986345,0.40666115,5.5915813,0.17230034,48,0.020745516,0.052324004,0.47510403,0.46265778,6.581291,6.1558466,0.91635066,0.675901
23999,0.4646237,0.3486248,1.7265965,0.8361199,49,0.37141687,0.3096137,0.47502303,0.5558304,3.2975821,3.8425493,0.93423486,0.7712434
24000,0.6971022,0.36551222,5.8036146,0.30542794,0,0.98047614,0.66714716,0.30027175,0.30494848,5.620175,6.1704307,0.99672043,0.5671383
24001,0.65219235,0.18429938,5.5680103,0.18196286,1,0.8994869,0.5696964,0.17778534,0.1887155,6.78544,6.433534,0.05438757,0.28331172
24002,0.8305728,0.51229984,3.2330182,0.1720529,2,0.0074812174,0.46573687,0.15166336,0.32847142,1.8363206,1.8798118,0.13155824,0.1251795
24003,0.17290674,0.27123734,6.165609,0.45502156,3,0.14123952,0.19855353,0.27877098,0.2928381,5.8036156,4.479798,0.2628532,0.37561798
24004,0.84541523,0.20540607,7.7605743,0.08411378,4,0.6794396,0.4971858,0.14632678,0.16762073,5.4912496,5.9838467,0.2007314,0.10783836
24005,0.32066956,0.12471587,3.126576,0.0767937,5,0.2720065,0.27528712,0.15173405,0.119670674,4.0385313,3.5077837,0.44182074,0.35778606
24006,0.7369967,0.47507682,4.76772,0.89266324,6,0.7977013,0.7870802,0.64405155,0.54110837,6.709491,5.8046026,0.8318706,0.81506854
24007,0.35942486,0.54218554,5.339115,0.03388483,7,0.95341074,0.43515092,0.48618788,0.51693165,4.4326663,4.217945,0.25403094,0.21984111
24008,0.5035211,0.06194187,5.4176493,0.4482838,8,0.64086664,0.38805363,0.05822158,0.057199493,6.244875,6.504492,0.4907726,0.3385503
24009,0.14642687,0.19054516,2.2184722,0.10333684,9,0.28226596,0.30166444,0.106037974,0.20132154,2.3741941,2.3177886,0.19605684,0.18156637
24010,0.08042399,0.6484591,2.0815916,0.4791022,10,0.1035707,0.105204046,0.8395784,0.8108969,6.1162205,4.5680666,0.9994072,0.8028828
24011,0.07097372,0.7221798,6.850642,0.43356416,11,0.13911098,0.2641311,0.6400395,0.71897656,6.248746,6.588124,0.24730092,0.5065347
24012,0.49377033,0.3561558,3.4231467,0.26416016,12,0.96256316,0.5754629,0.5938967,0.45754167,3.2278204,3.9331305,0.11538762,0.25561556
24013,0.6593875,0.6686414,2.2821214,0.41198105,13,0.8927227,0.753492,0.45197308,0.44180194,2.7801743,2.5344775,0.1330983,0.657642
24014,0.14870189,0.35737768,1.4935554,0.5896122,14,0.168692,0.124886766,0.8498835,0.6513767,4.4226565,2.3637495,0.44764084,0.44634187
24015,0.7500378,0.920204,4.904775,0.88248205,15,0.63356876,0.6411821,0.88329107,0.7913945,4.1954064,3.2517922,0.9163251,0.85074556
24016,0.8881977,0.68904924,0.73078567,0.8764932,16,0.94470656,0.8203727,0.7829274,0.6965868,1.7188342,2.0140233,0.7120258,0.6826067
24017,0.41357964,0.79877365,3.4237752,0.23731944,17,0.0049479604,0.32760283,0.5516215,0.60965735,2.567666,3.0485022,0.5327642,0.22142205
24018,0.65024287,0.23363619,3.0248668,0.21155697,18,0.48721844,0.5318818,0.098611474,0.13493438,2.2573977,2.563109,0.22086412,0.14787628
24019,0.26324606,0.93845785,3.8882594,0.65430135,19,0.13897735,0.29593694,0.38902336,0.6516703,2.5394442,2.6720214,0.90956634,0.7011134
24020,0.8332342,0.554916,5.2414436,0.15677996,20,0.77958024,0.592863,0.53021646,0.52499294,6.7652407,5.5775633,0.8130783,0.56170386
24021,0.71696854,0.5852825,5.5576477,0.10812198,21,0.26070565,0.3754117,0.6680133,0.3930567,5.3281307,4.183738,0.53978044,0.30415246
24022,0.13230716,0.39524952,1.6496681,0.46102408,22,0.11648238,0.14466052,0.4268036,0.5794008,2.597178,3.3561354,0.92653316,0.6051985
24023,0.3132899,0.40852308,4.7580547,0.45409286,23,0.22188091,0.5615824,0.41881877,0.38839152,4.699958,4.138864,0.23160917,0.481174
24024,0.3381535,0.8192877,7.5404572,0.24222164,24,0.44340914,0.42096633,0.57273144,0.67272764,5.076198,6.200191,0.79868376,0.5761354
24025,0.7940052,0.16110653,5.0522285,0.5777263,25,0.6740664,0.74810684,0.24491507,0.18543401,5.3693852,4.534276,0.52231336,0.55521595
24026,0.5692453,0.4205123,0.60557,0.80779684,26,0.7606486,0.44022825,0.7150698,0.70965326,3.346636,2.469898,0.93410194,0.532144
24027,0.9626142,0.34341294,8.060206,0.28476343,27,0.29702747,0.6618417,0.3833328,0.32009003,5.0001607,6.670544,0.18854415,0.20215338
24028,0.17445438,0.45048097,6.3512616,0.20639901,28,0.5225805,0.46367824,0.3601607,0.42744523,4.926164,5.634919,0.6750629,0.30528015
24029,0.3257328,0.15692237,0.6028554,0.14099139,29,0.25875527,0.35120013,0.48496366,0.7073642,1.1027529,1.8870395,0.36350018,0.3712208
24030,0.15325722,0.62175107,2.8020473,0.06032127,30,0.6179895,0.5925059,0.5174321,0.53668994,2.2154722,2.8488512,0.13518286,0.21600115
24031,0.8691226,0.6709285,1.2334583,0.3760716,31,0.55647236,0.53419095,0.85770285,0.67492884,1.309568,1.6376799,0.07021934,0.15677246
24032,0.55974495,0.30928564,5.158095,0.90363467,32,0.434308,0.6108175,0.5388506,0.2988979,6.950209,5.4765654,0.8654447,0.8238579
24033,0.6151072,0.7004855,3.5362246,0.19615245,33,0.7131536,0.68276095,0.63897735,0.6905576,3.8588507,2.7308037,0.2877097,0.3079328
24034,0.54882085,0.6014471,5.457771,0.29287222,34,0.2646432,0.39338437,0.6889816,0.5451654,6.645124,4.6880655,0.23830009,0.32777917
24035,0.25463286,0.73645383,2.5613694,0.52574027,35,0.50924104,0.5341545,0.7668203,0.6948941,3.1120348,4.250472,0.6364869,0.6353578
24036,0.84082174,0.23467563,2.6282313,0.7526157,36,0.9817239,0.64263296,0.7940237,0.5155729,3.0653806,4.37527,0.9464425,0.41512316
24037,0.87486196,0.57614875,6.5120416,0.24685434,37,0.5527359,0.5387786,0.32525927,0.4284071,4.8317733,5.062106,0.05611396,0.12341212
24038,0.5483025,0.5453674,4.087878,0.7807159,38,0.5969322,0.69710475,0.3403291,0.4671468,3.8648877,4.1540556,0.7848072,0.64635426
24039,0.6533318,0.39715976,7.3280125,0.41032216,39,0.47846323,0.51199037,0.40608037,0.4987276,6.4477005,6.638764,0.6439919,0.7067361
24040,0.3165913,0.6509936,4.697414,0.68721163,40,0.24001819,0.2668621,0.6832051,0.56920034,5.632673,5.4308085,0.82425606,0.69016397
24041,0.20959012,0.16139199,2.6458592,0.07009454,41,0.28274637,0.50734484,0.13823956,0.19002615,2.1127577,3.0506456,0.29502183,0.17132224
24042,0.18179515,0.5973178,4.8638043,0.052730523,42,0.8317952,0.5833698,0.5540806,0.5741327,4.096379,4.474902,0.3889482,0.23552789
24043,0.542472,0.11330271,2.1685636,0.9175338,43,0.8230114,0.55954385,0.03629434,0.19106592,2.7074664,2.1467705,0.92122144,0.8189309
24044,0.12070334,0.5133129,3.1919644,0.8881182,44,0.3056441,0.17411609,0.018754244,0.79398096,1.5486258,3.5487545,0.9588038,0.81917405
24045,0.4141561,0.9405603,3.2292387,0.7334598,45,0.35319793,0.6593346,0.8172555,0.7276926,5.298374,2.2755966,0.21745354,0.4021879
24046,0.3595005,0.30438507,3.47161,0.43198323,46,0.7015409,0.45484406,0.5020495,0.26679188,5.990258,4.400322,0.3002805,0.5984307
24047,0.7609143,0.1755027,6.253324,0.15575889,47,0.88831097,0.48247796,0.2046107,0.20331985,6.272718,5.6966934,0.4222597,0.38486615
24048,0.11381841,0.3544017,6.237857,0.94706386,48,0.020745516,0.052324004,0.47510403,0.46265778,6.581291,6.1558466,0.91635066,0.675901
24049,0.43634552,0.73491377,4.3398952,0.86044216,49,0.37141687,0.3096137,0.47502303,0.5558304,3.2975821,3.8425493,0.93423486,0.7712434
24050,0.9146818,0.4489489,8.071873,0.39851454,0,0.98047614,0.66714716,0.30027175,0.30494848,5.620175,6.1704307,0.99672043,0.5671383
24051,0.5302709,0.16971512,6.7236905,0.4354594,1,0.8994869,0.5696964,0.17778534,0.1887155,6.78544,6.433534,0.05438757,0.28331172
24052,0.3271217,0.55506,1.4932845,0.13289681,2,0.0074812174,0.46573687,0.15166336,0.32847142,1.8363206,1.8798118,0.13155824,0.1251795
24053,0.1375791,0.4536689,5.2212763,0.22173874,3,0.14123952,0.19855353,0.27877098,0.2928381,5.8036156,4.479798,0.2628532,0.37561798
24054,0.2930745,0.15239598,6.094489,0.23726547,4,0.6794396,0.4971858,0.14632678,0.16762073,5.4912496,5.9838467,0.2007314,0.10783836
24055,0.180166,0.07885399,3.5049546,0.28170606,5,0.2720065,0.27528712,0.15173405,0.119670674,4.0385313,3.5077837,0.44182074,0.35778606
24056,0.38591558,0.58673507,5.523855,0.39947686,6,0.7977013,0.7870802,0.64405155,0.54110837,6.709491,5.8046026,0.8318706,0.81506854
24057,0.6060702,0.6236125,3.9717386,0.07620502,7,0.95341074,0.43515092,0.48618788,0.51693165,4.4326663,4.217945,0.25403094,0.21984111
24058,0.3949818,0.06449807,8.146503,0.18654609,8,0.64086664,0.38805363,0.05822158,0.057199493,6.244875,6.504492,0.4907726,0.3385503
