,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
27,0.5928292,0.41648507,27,0.6719324,0.6011946,3.0749805,2.1681857,0.63447595,0.8648025
28,0.25165913,0.14179105,28,0.34154296,0.34288973,5.376498,5.192066,0.3334095,0.29376882
29,0.6895526,0.5308322,29,0.6397868,0.6932987,6.201936,6.339878,0.29194945,0.16693705
30,0.6203612,0.56436014,30,0.6191017,0.7570998,3.6675715,4.717568,0.3363561,0.22263819
31,0.6182776,0.751,31,0.7963884,0.92763305,4.105843,4.1480913,0.5163755,0.3870864
32,0.61248255,0.5989366,32,0.6317687,0.7381003,4.420177,4.2659764,0.808761,0.6535568
33,0.41932788,0.2872886,33,0.7410562,0.9799771,1.635769,2.358777,0.3930389,0.3081066
34,0.61934274,0.85703546,34,0.42309484,0.7962033,1.7302393,1.2504464,0.5509435,0.605517
35,0.26908043,0.21405995,35,0.18905762,0.2350434,4.342003,4.290796,0.67194736,0.8202096
36,0.045280363,0.029381216,36,0.08864968,0.11775756,4.616327,3.5163531,0.7337207,0.8548978
37,0.69804937,0.8300323,37,0.45467743,0.30317473,6.8284287,6.678056,0.5951167,0.119350135
38,0.69955957,0.659526,38,0.5530259,0.49350744,6.714811,6.683882,0.5963048,0.57655567
39,0.2024685,0.21457249,39,0.7006544,0.69250184,5.117088,3.1873102,0.33223143,0.48050314
40,0.57886666,0.44844747,40,0.30288193,0.29416406,7.855337,6.682371,0.2700657,0.05865562
41,0.6939818,0.7011147,41,0.6197727,0.45768303,2.5942938,1.5424049,0.8074717,0.9421073
42,0.6059922,0.54092026,42,0.23454341,0.20105624,7.2972393,6.782522,0.80401766,0.9935365
43,0.37318823,0.49601978,43,0.6818266,0.11880243,2.330189,1.1055274,0.783174,0.8889522
44,0.30373213,0.2569505,44,0.5793365,0.35168564,2.728774,2.5842335,0.3852263,0.5542077
45,0.75082695,0.60593325,45,0.730663,0.47489822,4.1740556,3.082149,0.74914455,0.5731401
46,0.5602757,0.8114188,46,0.40329936,0.29437828,5.29655,4.472611,0.36573383,0.2258634
47,0.6298356,0.42589855,47,0.33796874,0.28487515,5.0436273,5.0983877,0.35429835,0.38039672
48,0.37878078,0.31104404,48,0.6837868,0.6462607,1.8071067,2.1948576,0.7964699,0.29347652
49,0.7117438,0.834816,49,0.6179685,0.9057736,3.313605,4.111123,0.65348953,0.7198811
50,0.6465651,0.8591757,50,0.76426524,0.9588071,2.5311482,2.8924274,0.25039476,0.15813714
51,0.643193,0.58754086,51,0.54406345,0.5518464,4.4497576,4.6151266,0.31229982,0.41208202
52,0.55498874,0.7956537,52,0.28022948,0.15337765,2.8405974,2.0569062,0.43222436,0.21171695
53,0.5173984,0.37598664,53,0.6879075,0.91191566,2.0628443,2.0909832,0.48786157,0.41621876
54,0.6567683,0.8198024,54,0.49638015,0.472216,5.844408,4.3455796,0.7064231,0.5222945
55,0.7736834,0.8693009,55,0.623756,0.0046148896,2.633181,2.1525116,0.8022315,0.7134505
56,0.42675057,0.4250881,56,0.707398,0.15167063,2.7191246,1.0266622,0.694965,0.8615819
57,0.65891683,0.32219392,57,0.63869447,0.6870314,4.56745,5.6973433,0.24571592,0.15081507
58,0.5873192,0.8930979,58,0.39686707,0.26613122,4.6681085,4.8050575,0.1679072,0.058581233
59,0.6732789,0.6865767,59,0.6751898,0.9020601,4.278287,6.4508286,0.68546313,0.74870425
60,0.13772249,0.17559361,60,0.51869756,0.5746627,3.2063782,4.143759,0.5519198,0.81463075
61,0.10608714,0.18742526,61,0.32095495,0.33269078,6.909573,6.2591047,0.60438955,0.977906
62,0.28826645,0.17504299,62,0.77687204,0.9908493,2.6979074,4.495434,0.7078202,0.9731435
63,0.1315505,0.107694864,63,0.570647,0.50927144,4.6782146,6.26333,0.76156497,0.8747442
64,0.6277289,0.9360446,64,0.08069924,0.0810374,5.1484995,6.613133,0.65930474,0.72903305
65,0.13636605,0.11389339,65,0.3632448,0.3627723,4.611124,5.7081556,0.7538694,0.9101298
66,0.33470264,0.426144,66,0.48663837,0.51921993,4.168946,4.443926,0.77446216,0.99068743
67,0.6840913,0.37746137,67,0.640632,0.43442243,3.596728,2.7018652,0.53655016,0.7532607
68,0.09798239,0.33456743,68,0.5671544,0.64087427,4.0441256,1.4105157,0.44200957,0.35190374
69,0.6844658,0.39476413,69,0.2093189,0.19172883,5.4741836,6.3762345,0.23293898,0.16426826
70,0.4769758,0.60880846,70,0.35714483,0.23466098,3.0307267,2.298615,0.64684397,0.51875305
71,0.38833997,0.28062743,71,0.5767733,0.62760174,2.370115,1.8870963,0.6741491,0.62185305
72,0.7232337,0.93061054,72,0.34523377,0.17265153,3.4655244,2.9664884,0.31187305,0.4395523
73,0.58467895,0.6187116,73,0.5568515,0.2716992,4.6958017,4.187332,0.5645199,0.27202523
74,0.70750254,0.41728318,74,0.49711135,0.3366381,3.7048204,2.4502504,0.75544745,0.85737145
75,0.3941161,0.1540755,75,0.28401127,0.16763246,4.750411,3.3100133,0.6526866,0.60271835
76,0.6750831,0.54966515,76,0.45634425,0.34602123,4.6814785,3.5078905,0.6808298,0.73708045
77,0.13455291,0.19723427,77,0.7007471,0.9654975,3.6586277,6.237804,0.76183224,0.60504067
78,0.19185667,0.16591722,78,0.78220814,0.7952339,3.234148,5.169796,0.73825157,0.9912068
79,0.43294796,0.8670703,79,0.37268755,0.4077195,3.8558517,4.154569,0.18759857,0.019235253
80,0.2867182,0.25310808,80,0.06680266,0.059577644,4.3743477,4.027506,0.8671088,0.7793832
81,0.5160385,0.64516145,81,0.8069177,0.647539,4.0547805,3.101741,0.24866912,0.38174886
82,0.49940532,0.27066368,82,0.6804379,0.31312037,4.139969,2.2610173,0.45520207,0.19972605
83,0.6696331,0.21364748,83,0.27490735,0.24906468,2.9007006,2.5787315,0.28254277,0.011915982
84,0.57188135,0.9432061,84,0.8252993,0.9442301,3.8884335,5.2622957,0.5132548,0.42473918
85,0.35427064,0.37573427,85,0.5924346,0.54484344,6.6017046,6.176524,0.7330236,0.93905246
86,0.5007456,0.87044674,86,0.04697989,0.029247403,3.0975914,2.8317165,0.24920145,0.23684478
87,0.8342381,0.9915696,87,0.4917602,0.41830313,5.2068667,5.6085997,0.6005291,0.8595581
88,0.5721908,0.68323433,88,0.22578998,0.26461488,5.1790586,6.767091,0.40806237,0.14867705
89,0.5714037,0.37190014,89,0.31286573,0.27200675,5.531518,5.95488,0.26588196,0.36522377
90,0.43149957,0.28970605,90,0.68249756,0.9102691,2.927133,6.5261874,0.54175985,0.07533306
91,0.62000054,0.5293629,91,0.74305505,0.10512668,2.3348463,1.0298837,0.8557212,0.9967639
92,0.29601106,0.25625324,92,0.09548678,0.11769879,3.4949691,3.6372762,0.69953465,0.7952326
93,0.4482766,0.8939265,93,0.7650972,0.9394704,2.1731274,1.1132461,0.35024515,0.55029935
94,0.79023606,0.6675714,94,0.60188204,0.41879958,2.1876075,1.0194964,0.6637366,0.53816456
95,0.57186455,0.4571526,95,0.64306825,0.76001346,4.5921865,4.93105,0.17274885,0.36628568
96,0.62392396,0.64193183,96,0.48010352,0.43108052,6.3142414,5.6542387,0.39931452,0.6939293
97,0.66445315,0.91474134,97,0.6025906,0.77674294,5.0091777,6.5029936,0.37124878,0.5660369
98,0.4981087,0.3034714,98,0.581421,0.59407645,5.729234,6.8691897,0.6377533,0.55909497
99,0.42957276,0.3094378,99,0.34091437,0.27452028,3.8987465,3.865082,0.83549035,0.8629645
