,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
153,0.049955115,153,0.2468572,1.724513,0.8160651
154,0.21864921,154,0.09375759,3.3705068,0.8303709
155,0.04398229,155,0.3806933,2.7214394,0.794297
156,0.34335995,156,0.84946847,5.4045653,0.8103297
157,0.36688527,157,0.6802024,3.0969043,0.7988782
158,0.34854767,158,0.104222536,5.78687,0.8210673
159,0.2935964,159,0.20531343,3.0701394,0.7908021
160,0.28943464,160,0.69444615,2.5910566,0.8046377
161,0.38286757,161,0.67128444,1.5553875,0.83440065
162,0.5864922,162,0.11781691,5.4595003,0.7457603
163,0.23029415,163,0.725402,4.765882,0.83506775
164,0.47895253,164,0.59449315,6.563785,0.812345
165,0.2770073,165,0.49633875,2.9711025,0.76228327
166,0.4688604,166,0.840109,4.2051935,0.8268941
167,0.35449097,167,0.26646584,1.4641068,0.8495992
168,0.10427977,168,0.41766387,4.716561,0.82866174
169,0.17768909,169,0.15212925,2.6937456,0.8601891
170,0.8088052,170,0.6139417,3.3242378,0.8040575
171,0.6713688,171,0.54173124,2.005532,0.8702058
172,0.39314038,172,0.6263247,3.7875116,0.8225732
173,0.44879827,173,0.4663984,5.6350303,0.81880844
174,0.7377446,174,0.24246486,2.5263536,0.84255064
175,0.032532807,175,0.65625644,6.69816,0.8210709
176,0.33833995,176,0.20937318,4.0250287,0.80526245
177,0.31375745,177,0.59798545,6.8568144,0.81166834
178,0.2516054,178,0.6843109,5.7785907,0.86299
179,0.7193426,179,0.19801499,2.6470134,0.8286467
180,0.41270584,180,0.15781519,5.255186,0.8233414
181,0.76402026,181,0.101419814,6.4056926,0.8216329
182,0.085792236,182,0.48570594,1.4597151,0.84803694
183,0.61385936,183,0.6487246,5.9702578,0.81011313
184,0.28918937,184,0.25986663,7.314395,0.7550647
185,0.16148208,185,0.14410989,2.2948823,0.79097944
186,0.063000694,186,0.6636676,2.1476684,0.83682925
187,0.32028836,187,0.12327542,5.8652644,0.793598
