,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
106,0.7819649,106,0.6220453,4.293041,3.242666
107,0.634884,107,0.69282633,2.9162393,2.562454
108,0.2583706,108,0.11933692,2.72881,3.5715473
109,0.75240797,109,0.7187739,3.5994225,2.6312375
110,0.5614901,110,0.65252745,2.9662983,2.6820273
111,0.27650794,111,0.25693607,2.509898,4.1242237
112,0.6283274,112,0.4437395,3.520949,4.0496593
113,0.4970876,113,0.52703774,2.3128774,4.4623127
114,0.38716358,114,0.5607223,1.7128404,1.0726625
115,0.423393,115,0.6639375,2.5240517,2.4019945
116,0.43195117,116,0.7105473,2.1896446,3.971743
117,0.4968805,117,0.3322013,3.4315724,4.7219853
118,0.6672344,118,0.7313745,2.918361,2.7500503
119,0.592761,119,0.6529946,3.0851753,3.611526
120,0.42301178,120,0.74937105,1.8794359,3.1823602
121,0.6718158,121,0.22963674,4.0308557,3.3014438
122,0.6366088,122,0.10247991,4.136481,3.9438984
123,0.7829861,123,0.7218061,3.9844947,2.0068324
124,0.44667763,124,0.530519,3.3857958,2.09395
125,0.5807884,125,0.5401511,3.424815,4.564584
126,0.5214634,126,0.22289437,3.1319127,2.6197612
127,0.64895993,127,0.5676178,2.9175284,1.7969882
128,0.503435,128,0.6237619,1.6919949,0.8816557
129,0.44571778,129,0.6416349,2.7789402,4.6806135
130,0.28984576,130,0.63319063,2.5123527,2.4714587
131,0.50708765,131,0.74193484,2.442292,3.7382822
132,0.6214568,132,0.1017956,4.0203557,4.083644
133,0.6464555,133,0.09066279,4.2570457,4.237422
134,0.35372034,134,0.65414846,1.5989323,2.8750541
135,0.4006895,135,0.32824945,3.087019,3.6669052
136,0.47087792,136,0.6960521,2.5131333,3.4779122
137,0.30874965,137,0.736722,1.4296268,3.5208063
138,0.5599359,138,0.77480054,2.0181608,2.4153569
139,0.6879305,139,0.10025023,4.361057,3.7475202
140,0.27310252,140,0.2128353,2.120924,3.982873
141,0.76415956,141,0.5140393,3.475975,1.3827248
142,0.35031375,142,0.785041,1.7266788,3.6379366
143,0.62330437,143,0.40956822,3.4884634,1.1711322
144,0.26095358,144,0.22012137,1.6331618,4.695818
145,0.34605885,145,0.7470936,1.6868342,3.9573746
146,0.61083806,146,0.11532971,4.1158175,4.2030625
147,0.3495029,147,0.69382274,1.017814,0.7926162
148,0.67345583,148,0.21936072,4.1267643,2.8533285
149,0.48931402,149,0.18704228,3.3937333,3.208047
150,0.66719145,150,0.1661961,3.042229,0.9306521
151,0.61022556,151,0.10992176,4.049567,3.9884648
152,0.29119244,152,0.75904727,1.5456597,2.9936223
153,0.2644116,153,0.3801703,2.6027563,1.7966195
154,0.7489397,154,0.723218,3.5781813,2.3327446
155,0.6429581,155,0.7785008,2.778972,2.4832888
156,0.6500277,156,0.19138028,3.9216335,3.7361033
157,0.37570667,157,0.74284947,1.8833907,3.9654956
158,0.81883484,158,0.5258671,2.950253,0.82058203
159,0.6417935,159,0.09761055,4.0176644,4.045611
160,0.33921936,160,0.6322795,2.5904653,2.1423726
161,0.83085203,161,0.5146647,3.07901,0.9311531
162,0.62702245,162,0.105914555,4.0542326,3.9582584
163,0.57649803,163,0.11028484,3.930981,4.500367
164,0.3987625,164,0.7293438,2.3940122,1.9174972
165,0.49529535,165,0.77908766,2.22566,2.279651
166,0.80788445,166,0.7516398,2.8514771,0.92097616
167,0.6387236,167,0.11355683,4.091495,4.157065
168,0.27010086,168,0.2697419,2.5833788,3.2961473
169,0.30903718,169,0.7311028,1.7775404,3.3078482
170,0.49439007,170,0.64836746,0.89182216,0.70387924
171,0.7927596,171,0.8150055,2.9674184,1.1091846
172,0.5121597,172,0.6919197,2.7467637,3.7894952
173,0.4753563,173,0.7613548,2.1408467,2.3849995
174,0.5884893,174,0.69121766,3.5215344,2.8118384
175,0.49037164,175,0.75507665,2.0652142,2.9497702
176,0.759572,176,0.45396662,2.633273,0.94418406
177,0.6674135,177,0.57985777,1.4940761,0.81863135
178,0.5141702,178,0.10611977,3.614744,4.529953
179,0.64775234,179,0.18019415,3.9559472,3.7233832
180,0.26065117,180,0.5757738,1.9368154,4.997267
181,0.4462528,181,0.7655281,2.065111,3.334493
182,0.48793143,182,0.321058,3.1112156,2.4228141
183,0.44203022,183,0.5176361,2.7637393,4.732926
184,0.5024203,184,0.76881313,2.2918365,2.1454487
185,0.340064,185,0.62020403,1.3556616,1.301893
186,0.43557027,186,0.3382894,1.7168152,3.0953336
187,0.4771527,187,0.6068251,1.8147409,2.5014029
