,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
82,0.06528142,82,0.15005164,3.9564135,0.8864744
83,0.22737683,83,0.45795044,2.0005772,0.9027226
84,0.051346567,84,0.06874147,3.2435155,0.89304763
85,0.041962855,85,0.05885353,4.4889483,0.8924479
86,0.14559166,86,0.26123863,1.9909542,0.90549093
87,0.07665909,87,0.029719999,6.542663,0.89672667
88,0.6993282,88,0.66427284,2.9410346,0.90010303
89,0.5960754,89,0.55100024,3.459878,0.9161989
90,0.05391416,90,0.1051653,3.9548745,0.893651
91,0.028618935,91,0.61882496,0.99278295,0.89273477
92,0.07626222,92,0.17681429,1.876305,0.8859788
93,0.028213548,93,0.6065365,0.9741666,0.8998936
94,0.30420408,94,0.17326905,3.2919502,0.90844446
95,0.16090591,95,0.07613486,2.0520918,0.8981084
96,0.03444059,96,0.51816404,1.2209133,0.89167094
97,0.28189617,97,0.09697323,5.8917804,0.8933501
98,0.43002477,98,0.4137295,4.7066736,0.90335864
99,0.13023275,99,0.16707774,3.454167,0.8911423
100,0.036495935,100,0.05661361,7.423858,0.8940752
101,0.040541276,101,0.24521194,3.9293964,0.8792252
102,0.107966185,102,0.2066139,1.9285349,0.89954174
103,0.032812037,103,0.45802227,2.1935465,0.89151233
104,0.5347819,104,0.5682525,3.721794,0.9036626
105,0.033532582,105,0.28168207,2.958278,0.88462144
106,0.24044244,106,0.28171536,2.8050795,0.9020071
107,0.3346167,107,0.4685638,3.2119203,0.9028462
108,0.029344944,108,0.2700783,1.0751244,0.8955855
109,0.5775991,109,0.41387424,3.2532413,0.9109718
110,0.313342,110,0.3449004,3.0172098,0.9048224
111,0.10823439,111,0.08231594,4.205101,0.8965719
112,0.17607477,112,0.073190674,3.5429735,0.8955346
113,0.27323455,113,0.24289966,4.789648,0.89975464
114,0.32231283,114,0.30391872,3.3318453,0.89614606
115,0.47725314,115,0.31541535,4.9586062,0.89691955
116,0.41013524,116,0.4752016,3.495865,0.90405476
117,0.08974283,117,0.08164246,3.549929,0.89096516
