,locs0,locs1,locs2,locs3,locs4,subject
206,-0.839321,1.050941,-0.33260298,-2.1207774,-1.5752779,14
207,-1.237197,-0.18269983,-1.5783308,-1.1228123,-2.206746,15
208,-1.2061232,1.1389983,0.058921814,-1.2499425,-1.7229636,16
209,-0.53295624,-0.3537295,-2.6174393,-1.8589385,0.1587627,17
210,0.4202274,1.9730589,-1.8340944,-1.515059,-2.045237,18
211,-0.80940217,1.4031818,-2.1779516,-1.3383244,-2.4621835,19
212,-0.15365258,1.888644,-1.1548692,-1.8958772,-1.7542139,20
213,-1.7309519,0.77085626,-1.616171,-1.1629711,-1.4685743,21
214,-0.27612603,1.2785132,-1.6546799,-1.3841426,-1.895104,22
215,-0.84049696,1.312414,-0.77567506,-1.4857079,-1.5493231,23
216,-0.9376941,0.15748972,-1.7483832,-2.1855183,-0.95472276,0
217,-1.0310777,1.356142,-1.8511578,-2.3012183,-1.8653021,1
218,-0.84526104,1.5200188,-1.9499817,-2.0106363,-0.74414873,2
219,-1.544206,0.74709535,-1.0743859,-2.716735,-1.0701365,3
220,-0.821727,-0.22161525,-2.3919473,-1.4750816,-1.7028636,4
221,-1.4584589,1.799489,-1.085711,-1.2664932,-2.4762564,5
222,-0.2719596,0.3138457,-1.4044911,-1.7133578,-2.0982285,6
223,0.17312562,1.9405937,-0.9959997,-1.4653249,-1.6059834,7
224,-1.6697893,0.37585908,-1.0916443,-2.4897227,-0.47601712,8
225,0.2969767,-0.24807723,-2.038793,-1.5148654,-2.3189087,9
226,0.24149501,-0.09645297,-2.4912694,-1.8640076,-0.28610015,10
227,-1.2328259,-0.0102446675,-1.3837584,-1.9096293,-1.3592598,11
228,-2.117769,1.1213491,-1.7841095,-2.24926,-1.5157881,12
229,-0.97490835,0.6132599,-1.5571132,-2.0907621,-2.0957804,13
230,-0.60762465,1.01802,-1.0038903,-1.5591108,-1.1072431,14
231,-2.1606002,-0.7955119,-1.153967,-2.1893704,-1.3466818,15
232,-1.2221798,0.6532993,-0.95936483,-0.5309272,-1.6137124,16
233,-1.5772716,0.5452697,-1.2604542,-2.1782572,-1.3799284,17
234,-0.89117134,0.40265602,-1.1375431,-2.2081013,-2.344755,18
235,-1.5238378,0.57468045,-0.98146534,-2.0280755,-1.1126151,19
236,-0.4270585,1.3566823,-1.1150519,-2.1916218,-0.9043807,20
237,-0.20233119,1.8800328,-1.3711138,-1.6656251,-1.3320575,21
238,-2.3355575,0.29634395,-1.0535357,-1.6928006,-1.5354887,22
239,-1.6476383,0.22978747,-1.0427941,-2.3963287,-1.7813106,23
240,-1.4446344,1.364331,-1.1514927,-1.5217075,-1.5015134,0
241,-0.49919897,-0.09016305,-2.1197865,-1.8696096,-2.392993,1
242,0.13965929,0.99920577,-2.1935635,-1.8311142,-1.7439578,2
243,-0.9367018,0.9940972,-1.9568915,-1.6494625,-2.16202,3
244,-2.3008437,1.2132167,-0.9916225,-2.5414367,-0.49603307,4
245,-1.5127801,0.010823846,-1.4571548,-1.8220245,-2.5864143,5
246,-1.9336741,-0.57060045,-1.2187421,-2.2248564,-1.8465847,6
247,-0.13226539,1.2261109,-1.982844,-0.9685377,-1.8031566,7
248,-1.1039814,1.4471947,-0.8505796,-1.8273433,-1.6347743,8
249,-1.0061648,0.6760796,-1.2395815,-1.8612654,-0.9416444,9
250,-0.5646472,0.60815364,-1.9825237,-2.3057709,-0.68775123,10
251,-0.76715827,1.9991329,-0.5827798,-1.9630249,-2.321958,11
252,-0.08343816,-0.4180622,-2.4938438,-2.383032,-2.7414608,12
253,-0.21759367,1.079,-1.5339538,-2.015782,-2.4513052,13
254,0.45671743,1.9367489,-1.3011578,-1.0194092,-2.1380725,14
255,-2.1981418,-1.1771698,-1.9240242,-1.5755212,-1.269851,15
256,-1.192424,0.28886238,-1.2494444,-1.0871793,-0.91857517,16
257,-0.48466647,1.8229272,-1.8162925,-1.341763,-1.1313543,17
258,-0.26382643,1.2266383,-1.6987317,-1.6322951,-1.0280032,18
259,-1.8303642,0.5102276,-1.0849655,-1.573767,-1.8013198,19
260,-0.38306218,0.53976554,-1.9724516,-2.2993026,-0.97685504,20
261,-1.7544329,1.1308916,-0.8483173,-1.6737664,-2.439725,21
262,0.5084251,0.08943117,-2.0135143,-1.55986,-3.0227048,22
263,-0.042162895,1.055473,-2.6745043,-0.9928605,-2.2944887,23
264,-0.439036,1.3954983,-1.5387695,-2.251385,-2.7956738,0
265,-0.6919957,2.0282984,-1.4460613,-1.7186741,-1.9708278,1
266,-1.8022573,0.22232354,-1.0220989,-2.6532426,-1.8090241,2
267,-1.4537458,1.3759717,-1.2280802,-1.1164632,-2.6189132,3
268,-0.08909392,0.14908665,-2.711679,-1.932157,-1.8214272,4
269,0.7102344,1.2738092,-2.1223218,-1.157068,-1.8649532,5
270,-1.0668275,0.80652976,-1.2238351,-1.4784722,-2.474711,6
271,-0.9796841,1.6569078,-0.4438296,-1.6445856,-1.2078828,7
272,-0.3767506,-0.04080659,-1.9222517,-1.7218369,-1.5922159,8
273,-0.2572922,0.26081502,-1.5199215,-1.3264668,-2.3400352,9
274,-0.61669093,0.35441786,-1.8102562,-2.3753011,-1.0126913,10
275,-1.5784068,0.7580823,-1.5789267,-2.2018957,-1.8282661,11
276,-2.5843763,0.35369074,-1.4926093,-2.131497,-1.4455475,12
277,-0.911808,0.673476,-1.6120569,-2.1709414,-2.4542358,13
278,-0.1447168,1.0012966,-1.168719,-1.7996104,-1.8927306,14
279,-0.5192869,0.56956863,-1.7251192,-1.331913,-1.495296,15
280,-0.6915306,-0.22269732,-1.2756021,-1.6992198,-4.0306134,16
281,-0.90147364,0.4958532,-1.8910348,-1.2727861,-0.94478184,17
282,1.1168689,1.6612074,-1.8975539,-1.5765549,-2.3878284,18
283,-1.897012,0.7030047,-1.8133569,-2.1989946,-0.8937676,19
284,-1.2855053,0.84292555,-1.1462584,-1.8757008,-0.11670977,20
285,-0.32761472,1.4434369,-1.2990738,-1.4338151,-2.1812289,21
286,-1.7282919,0.27409798,-1.2826868,-1.6908298,-2.0669541,22
287,-1.4677794,1.101658,-1.5570768,-1.8991945,-0.77230036,23
288,-0.81565696,0.7859106,-1.7230331,-1.653093,-1.3170586,0
289,-0.5629357,1.6289874,-1.238448,-2.0669575,-1.8111525,1
290,-1.7138151,1.5201305,-1.1957924,-1.6057158,-1.2515962,2
291,-3.021305,1.3335044,-0.12458742,-2.166221,-2.0369363,3
292,-0.6038523,0.4041193,-1.4876382,-2.3790262,-2.1092358,4
293,-3.0523305,0.88286895,-1.0333729,-2.326824,-0.9859347,5
294,-1.5240964,0.55351996,-2.2331514,-0.9608399,0.45722973,6
295,-0.41935897,0.12323642,-2.1075783,-1.7523031,-1.1701231,7
296,0.23118109,0.5768459,-1.311479,-2.133783,-1.7658031,8
297,-3.7154574,0.6148299,-0.3378023,-1.8508987,-1.6453068,9
298,-0.1085341,0.9822371,-2.1973958,-1.8394963,-1.358432,10
299,-1.2467271,1.3050816,-1.1081654,-1.6902596,-1.0741419,11
300,-1.219075,0.8022019,-1.5710198,-2.0344431,-2.3105834,12
301,-1.7756783,0.14366001,-1.90689,-1.6963168,-0.8852428,13
302,0.77108234,1.3358015,-1.1912792,-1.1928618,-3.3495626,14
303,-2.0607395,0.8077465,-0.3323983,-1.8658087,-1.649212,15
304,-1.2861423,0.1539264,-1.3702364,-0.8894985,-0.9253586,16
305,-2.6245463,0.27070403,-1.1706715,-2.010986,-1.225545,17
306,0.34712994,0.9810709,-2.4011064,-1.1426421,-0.8945484,18
307,-1.310134,1.3599494,-1.2790204,-1.8266532,-1.0950935,19
308,-0.8252319,1.7016209,-1.1011416,-1.7767502,-0.39394742,20
309,-1.9745734,0.11064595,-1.3393192,-1.6009731,-2.2874248,21
310,-0.3366884,1.3008543,-1.1257012,-2.0050056,-3.0745513,22
311,-0.80088216,1.2050867,-1.4651536,-2.1552806,-1.6055031,23
312,-0.37111384,0.83934087,-2.1117404,-1.9315598,-1.6818409,0
313,-0.8477342,1.243573,-2.4159584,-0.91185874,-2.310715,1
314,-0.6818482,0.9783091,-2.450506,-1.4486203,-1.7209421,2
315,-0.30555052,1.3523749,-1.3120389,-1.9561721,-2.6162896,3
316,-1.5804124,-0.20710605,-2.1008637,-2.101006,-1.0879071,4
317,-2.5442944,1.7595127,0.32395554,-2.4612498,-1.86345,5
318,-0.5205368,0.3303443,-0.5985328,-2.3274183,-2.3653836,6
319,-1.010429,1.0529003,-0.9234024,-1.1133928,-2.0594954,7
320,-1.236646,0.5287019,-1.1840665,-1.9111819,-1.0850075,8
321,-1.015908,0.0144691765,-2.0531957,-1.7732518,-2.6697404,9
322,-1.2553477,-0.34031087,-1.7810411,-2.2675288,-1.8346593,10
323,-0.8932524,0.6781484,-1.9268754,-1.5144572,-2.14036,11
324,-0.70119727,1.1492181,-1.7889841,-2.495829,-1.8016223,12
325,-1.3136759,1.2853924,-1.8176757,-2.496264,-1.8492985,13
326,-1.9630439,0.9356843,-0.8733902,-1.3756087,-1.2070743,14
327,-1.5203787,-0.47732615,-1.3461479,-1.843483,-1.8018411,15
328,-0.523975,1.4050841,-0.89965284,-0.8586472,-2.8640542,16
329,-1.0195245,0.7300615,-0.8136426,-1.9939766,-1.7817068,17
330,-1.4696815,1.1118662,-0.5207075,-1.757592,-2.25843,18
331,-0.58892894,-0.5574545,-2.1762629,-2.091513,-1.431685,19
332,0.44781482,1.0533736,-1.6703054,-1.9448882,-1.5043094,20
333,-2.3298101,0.63835037,-2.127111,-1.4032271,-0.98319507,21
334,-0.72488403,-0.10057622,-2.0398934,-1.8501143,-1.1602355,22
335,-1.0772063,0.6577366,-2.2213612,-1.8934042,-1.7767775,23
336,-0.48552698,0.2475853,-2.3487148,-1.4480484,-1.8749905,0
337,-0.114150405,1.1501298,-2.6061318,-1.5601504,-1.6764314,1
338,0.27270854,1.09455,-2.0268507,-1.3849591,-1.6950212,2
339,-0.95693064,-0.016364813,-2.1722007,-1.8265945,-2.4383984,3
340,-0.8395642,1.480924,-1.5763263,-0.9341024,-1.5084963,4
341,-1.1451238,0.605806,-2.9402575,-1.58412,-1.0076067,5
342,-1.1435614,2.0423615,0.16033995,-2.0504498,-0.82877743,6
343,-0.40664998,0.16638345,-1.3214267,-2.0424051,-0.7283163,7
344,-0.38807547,0.43333465,-1.5230898,-2.3126698,-1.8531463,8
345,-2.088295,-0.22702475,-1.0820117,-1.6493667,-0.7698895,9
346,-1.1793563,-0.8162373,-1.9303846,-1.9152806,-1.1615287,10
347,-1.4570841,1.0570389,-1.2534163,-2.3401265,-1.3969857,11
348,-1.3331492,0.9759183,-1.5459552,-1.6947279,-1.690346,12
349,-0.91489524,1.647051,-1.3458025,-1.875472,-1.616994,13
350,-1.2024432,0.9572307,-0.7614819,-2.0422459,-1.0622147,14
351,-1.9311007,-0.19940937,-0.75594324,-2.4762363,-0.9423542,15
352,-2.2334054,0.94008356,0.31710446,-1.461366,-0.8804443,16
353,-0.8755018,0.83765566,-1.7542851,-1.4214394,-1.1965404,17
354,-0.94973785,1.6007059,-0.7390429,-1.9545263,-2.130612,18
355,-2.5542352,1.2250521,-0.44579732,-1.8137252,-1.3212384,19
356,-1.1111033,1.5565231,-0.85427153,-1.576132,-1.1033163,20
357,-1.249431,0.3205784,-2.0004835,-2.242511,-1.7611793,21
358,-0.71225977,0.23037341,-1.3083622,-2.2416139,-2.729926,22
359,-1.8426652,1.1763457,-0.5939772,-1.808117,-1.8100251,23
360,-0.6198252,0.52282965,-2.3223796,-1.7459254,-1.4536704,0
361,-1.18485,1.5054598,-1.5501451,-1.368191,-1.5199851,1
362,-2.3264048,0.59955764,-1.4245465,-1.824636,-0.73049545,2
363,-1.2709163,0.8258582,-1.6925799,-2.0902321,-1.4740492,3
364,-1.8524833,0.044241846,-1.4678407,-1.636747,0.15808284,4
365,-1.6244674,1.0628238,-1.1401682,-2.215933,-3.4854236,5
366,-0.7559281,1.030259,-1.0893819,-1.342016,-0.720512,6
367,-2.126937,1.3793893,-0.84958243,-1.394881,-1.2614076,7
368,-2.5717623,0.94106674,-1.1474345,-1.7744205,-1.3931762,8
369,-1.4404203,0.6563106,-1.1071824,-1.9137971,-1.9957392,9
370,-1.4828156,-0.03683105,-1.7261019,-2.4746416,0.008355379,10
371,-0.6240467,1.7372993,-1.1576871,-2.9952316,-1.7371547,11
