,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
66,0.10710106,66,0.1953182,1.3255899,0.86507124
67,0.8273976,67,0.53160816,5.2999663,0.8731878
68,0.7120796,68,0.21697108,4.9135466,0.8348108
69,0.65140206,69,0.0363399,2.4326684,0.8659443
70,0.08666259,70,0.85454494,4.802253,0.8541163
71,0.6930445,71,0.57722634,4.0774465,0.8351749
72,0.6801524,72,0.89584005,3.9852085,0.8487712
73,0.2133304,73,0.88310415,6.555085,0.8704776
74,0.7161613,74,0.08365795,6.210028,0.8799942
75,0.5858361,75,0.3420025,3.9488246,0.83858174
76,0.7329722,76,0.57276237,5.932248,0.8706327
77,0.83162767,77,0.68747634,1.8039255,0.8414715
78,0.6637876,78,0.6799962,4.027116,0.8647064
79,0.5030345,79,0.8239382,6.279367,0.86734486
80,0.754344,80,0.64509934,2.6585321,0.8536011
81,0.15481189,81,0.7304479,1.602437,0.85037696
82,0.0961436,82,0.43951887,6.6011887,0.8407769
83,0.6842778,83,0.8819757,5.7213135,0.76653904
84,0.47620922,84,0.5333799,2.2176025,0.8302307
85,0.37422723,85,0.52983767,4.4717383,0.84363884
86,0.504109,86,0.41311187,2.8311372,0.8546333
87,0.34862426,87,0.67713755,4.240277,0.84107184
88,0.70246553,88,0.48612645,5.2282286,0.83060825
89,0.77641076,89,0.2885186,5.3604345,0.841879
90,0.48531982,90,0.45511675,5.468759,0.8477378
91,0.14527087,91,0.032863036,2.3419762,0.825063
92,0.42323628,92,0.61847323,3.4570343,0.87793434
93,0.3697065,93,0.023029156,5.083889,0.84085584
94,0.788844,94,0.43231493,1.8396679,0.85575145
95,0.54715943,95,0.14061317,4.5043693,0.7135726
96,0.64337915,96,0.16044688,2.0907266,0.8013278
97,0.06698811,97,0.84281003,4.2918205,0.8612572
98,0.8230607,98,0.41934237,1.2473716,0.85610676
99,0.7027041,99,0.82552725,2.5252569,0.8425232
100,0.7238036,100,0.4174997,4.302409,0.7823446
101,0.32833722,101,0.11033546,3.1768277,0.8610233
102,0.48026273,102,0.35896948,4.313496,0.85004026
103,0.754332,103,0.25078335,2.607127,0.8801598
104,0.77362263,104,0.8955636,4.346916,0.82569605
105,0.6695736,105,0.57342905,3.6089838,0.8175417
106,0.6621846,106,0.70400196,5.3393297,0.7380801
107,0.3146153,107,0.52989626,2.8459656,0.8565986
108,0.58282816,108,0.8492957,6.391376,0.85656494
109,0.6878248,109,0.25875542,2.672137,0.86785495
110,0.20796698,110,0.121742435,1.9256309,0.87524146
111,0.44957057,111,0.7247048,1.3840511,0.79630446
112,0.38548395,112,0.09438723,5.4813085,0.8128528
113,0.6860519,113,0.7042336,1.9669756,0.8731629
114,0.8053396,114,0.15233271,3.092005,0.8321721
115,0.46157372,115,0.095729426,4.39515,0.88829637
116,0.5600279,116,0.28329793,4.4026165,0.85303444
117,0.7461753,117,0.16553126,7.314115,0.8327098
118,0.7279237,118,0.205288,5.6141973,0.84184873
119,0.7610011,119,0.68354684,6.872329,0.826982
120,0.46776295,120,0.3976526,2.577997,0.8340332
121,0.67317647,121,0.21619146,3.2473555,0.8067599
122,0.0669042,122,0.51372606,2.4610538,0.87185746
123,0.20663635,123,0.367375,2.6231694,0.8677007
124,0.6628051,124,0.55430305,5.0802383,0.8722856
125,0.05300745,125,0.5025534,4.463045,0.85672647
126,0.7879276,126,0.8496703,4.961606,0.8216394
127,0.46621278,127,0.8919773,6.859422,0.86239976
128,0.6067117,128,0.86101305,6.161229,0.86933327
129,0.65979284,129,0.27725855,6.0479455,0.851406
130,0.5605342,130,0.24001962,2.598366,0.86903405
131,0.60309607,131,0.6446836,4.21832,0.80564296
132,0.10012645,132,0.52973515,4.4071317,0.861909
133,0.49791583,133,0.49662763,5.1973076,0.81698316
134,0.71719277,134,0.7335966,2.7080874,0.83707935
135,0.3184673,135,0.28416222,5.4884014,0.87614
136,0.7352388,136,0.4340389,1.7362782,0.8505362
137,0.3484425,137,0.16405013,5.1400275,0.85639745
138,0.39519227,138,0.66731066,4.9922047,0.8418619
139,0.83196265,139,0.83897644,4.958825,0.8649997
140,0.2705824,140,0.19014116,5.287827,0.8137991
141,0.43706855,141,0.48184162,1.5751394,0.84746885
142,0.5117918,142,0.36957166,4.5686197,0.8168046
143,0.7305927,143,0.37895378,2.3492227,0.8627924
144,0.5283033,144,0.37552163,1.3558447,0.8679023
145,0.8404844,145,0.40770185,2.7142696,0.7727677
146,0.33903632,146,0.5960485,4.263004,0.80962914
147,0.7718656,147,0.17507122,3.5044312,0.8257842
148,0.5155205,148,0.1048252,4.064886,0.8600128
149,0.4276819,149,0.80310893,2.8901172,0.86154884
150,0.3182558,150,0.66096693,5.1249986,0.79296374
151,0.4876584,151,0.82824844,6.1391563,0.84070975
152,0.6895399,152,0.5839977,5.561448,0.84541774
153,0.05046953,153,0.2525656,1.7445183,0.84093297
154,0.22395945,154,0.09406817,3.33354,0.86017054
155,0.03998281,155,0.365956,2.7485805,0.8241451
156,0.36099547,156,0.8600913,5.4863396,0.8492005
157,0.37780395,157,0.7041929,3.1322281,0.8323081
158,0.360449,158,0.10330992,5.824662,0.8447716
159,0.30602726,159,0.20664598,3.0353782,0.8330664
160,0.29617915,160,0.7166755,2.654775,0.8256403
161,0.38425317,161,0.6704706,1.5682185,0.8666532
162,0.60840183,162,0.116500035,5.4623394,0.7954593
163,0.23584633,163,0.72837293,4.7842197,0.84996325
164,0.4904386,164,0.5916887,6.5468926,0.8316832
165,0.2752837,165,0.4839801,2.956983,0.79490197
166,0.480192,166,0.8600175,4.281295,0.86263293
167,0.36255866,167,0.18675373,1.4744267,0.860297
168,0.105413035,168,0.41975427,4.7398624,0.8597415
169,0.1763338,169,0.15002578,2.693702,0.8795085
170,0.82305545,170,0.60515,3.291618,0.84527236
171,0.6782194,171,0.5407857,2.0503151,0.8882569
172,0.37823594,172,0.62271845,3.799363,0.84492207
173,0.455344,173,0.4623035,5.449906,0.83406615
174,0.75491405,174,0.24530305,2.5901778,0.8577678
175,0.029773556,175,0.6406132,6.7678065,0.8422086
176,0.33428082,176,0.20760699,3.9923623,0.83800805
177,0.3302681,177,0.6090497,6.8505955,0.8374387
178,0.24259627,178,0.68189514,5.7739396,0.8790889
179,0.7348185,179,0.20039254,2.7030742,0.8556874
180,0.43737385,180,0.15677209,5.167982,0.84612197
181,0.79542375,181,0.103478946,6.4051137,0.8611867
182,0.083164185,182,0.44193327,1.4008191,0.8640157
183,0.64002454,183,0.65167624,5.856852,0.8420853
184,0.30489698,184,0.26627168,7.316372,0.7992827
185,0.17688419,185,0.05313558,2.4697948,0.8061338
186,0.061520886,186,0.662567,2.1120677,0.85175765
187,0.32942814,187,0.12270424,5.7814794,0.8331079
