,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight,inferred repetition,true repetition
113,0.39218798,0.5163227,113,0.5151352,0.55781704,1.8918029,1.99354,4.5275254,4.8740134,0.5838487,0.2277348
114,0.28840947,0.0580256,114,0.5426673,0.47371912,1.4622777,0.854707,1.0666554,0.95931494,0.40860462,0.7157471
115,0.36841908,0.23236513,115,0.65211904,0.65207535,2.2290063,2.8142695,2.474488,1.997484,0.31788212,0.19596618
116,0.3160274,0.28791225,116,0.7379338,0.8703545,1.890236,4.306162,4.2146206,5.639325,0.5503104,0.56300396
117,0.40797845,0.3343833,117,0.3266535,0.34299397,3.4252517,4.401779,4.5702596,5.0982447,0.48658806,0.9188634
118,0.5276621,0.9398385,118,0.7548607,0.8701788,2.389143,2.8538861,3.0783398,5.293998,0.7660988,0.78577363
119,0.557054,0.43630326,119,0.66847944,0.71760327,2.833321,4.1683483,3.8263373,5.8991814,0.38212302,0.16589767
120,0.30031633,0.49388266,120,0.78093654,0.88658077,1.6591928,0.16946912,3.3152754,4.929432,0.55973214,0.95230883
121,0.6308076,0.29735893,121,0.22756222,0.2906617,3.8646035,5.944581,3.1473398,1.1420013,0.5763839,0.9672275
122,0.57712877,0.79342854,122,0.083960034,0.008670449,4.0092435,2.2245479,3.8804443,5.2828827,0.57529116,0.99352694
123,0.7048403,0.79107463,123,0.7644077,0.8044943,3.9090083,5.7559495,2.2768433,0.54298997,0.65663683,0.12586296
124,0.38896868,0.3851654,124,0.52981335,0.5172911,3.3254616,3.4251127,1.9942774,1.7082878,0.2523994,0.10879618
125,0.47723725,0.47275352,125,0.54658335,0.5954142,3.1433403,4.4919167,4.550433,4.056294,0.67130506,0.44706494
126,0.4322483,0.39398998,126,0.21305148,0.26123005,2.979618,5.0883846,2.6275089,5.560104,0.43234172,0.2500006
127,0.5226161,0.77650106,127,0.5632444,0.6191379,2.4906266,2.8650649,1.8496083,2.2330995,0.6928986,0.36102915
128,0.3819685,0.45334858,128,0.63436145,0.5380373,1.3922387,1.5239264,0.88221306,0.32172203,0.5281355,0.2749701
129,0.3715081,0.2097516,129,0.65445805,0.68118525,2.5251744,3.2331514,4.8065834,5.2497053,0.49128732,0.37074536
130,0.23887736,0.12136036,130,0.6328397,0.76529425,2.4238253,4.7675176,2.5116842,2.7105217,0.26414704,0.24055976
131,0.3511084,0.87262315,131,0.7647915,0.85342765,1.8001553,0.48661458,3.992079,4.827585,0.78310865,0.8871213
132,0.53869396,0.6144289,132,0.08622302,0.026106834,3.8371472,2.0919132,3.8246386,3.3928084,0.51681614,0.08374429
133,0.554567,0.92677355,133,0.07255188,0.04479617,4.0542874,3.4242988,3.8834083,5.492822,0.58398426,0.20908499
134,0.2584107,0.41977966,134,0.68209827,0.5926287,1.3362132,0.37536228,3.0477333,2.6876826,0.49371716,0.35580355
135,0.29617584,0.24399734,135,0.31655404,0.34527844,2.9767153,3.7870336,3.4661484,2.4838357,0.67790437,0.6591954
136,0.4107439,0.5641379,136,0.7273534,0.740518,2.2237403,0.9480357,3.7014692,4.634151,0.42390186,0.43567926
137,0.2660816,0.43598247,137,0.7642454,0.9172735,1.2707918,0.82198656,3.7166233,3.5718203,0.18584692,0.2886384
138,0.5022482,0.31644797,138,0.80488527,0.9948837,1.9287632,4.50476,2.6687489,3.7121377,0.23710755,0.050125837
139,0.62554884,0.53500277,139,0.08232399,0.033163667,4.224027,4.6321754,3.3101416,0.5042703,0.5882898,0.69703764
140,0.24693055,0.8281272,140,0.2006289,0.20056939,1.968823,0.59791124,3.7348726,5.079648,0.36197972,0.45449042
141,0.700672,0.49361038,141,0.5264825,0.49132627,3.0839913,3.0285935,1.5256509,0.9968437,0.7530809,0.73470163
142,0.28809875,0.18838811,142,0.809936,0.95938575,1.5019102,2.5663085,3.8174257,5.3367505,0.38703167,0.46489257
143,0.5273603,0.5776776,143,0.41235772,0.44150287,3.370721,4.7256217,1.3461561,1.8643656,0.5914636,0.28537256
144,0.2415152,0.7968093,144,0.20473848,0.206779,1.2718242,0.2758348,4.6076074,4.772005,0.2922096,0.16410673
145,0.32429108,0.22321934,145,0.781684,0.8362483,1.6154442,2.1412144,4.1549177,4.1200247,0.18237163,0.33994877
146,0.52456415,0.67879564,146,0.093707636,0.08456504,3.8342667,3.4956408,4.048645,3.7339525,0.5549254,0.70913464
147,0.298575,0.983874,147,0.7099506,0.57428235,0.91896176,0.2489587,0.71885484,0.98267233,0.27993792,0.29907346
148,0.63414174,0.6322359,148,0.22069177,0.23072958,3.9440353,4.15167,3.0404062,2.1445692,0.55561185,0.2617753
149,0.42318493,0.6844249,149,0.18639569,0.1737898,3.2110963,1.3145943,3.215502,3.4025438,0.5052696,0.3800156
150,0.61979157,0.9949901,150,0.15400174,0.14813012,2.37325,3.964263,1.1158772,1.2842227,0.520155,0.54860055
151,0.5608482,0.6584608,151,0.08553586,0.059114337,3.8091347,2.900446,3.7840235,4.1580033,0.5401601,0.70614475
152,0.24113591,0.23529732,152,0.79559237,0.984921,1.3628907,1.3548753,3.14721,4.1613035,0.330223,0.470325
153,0.2352741,0.15528893,153,0.3685149,0.39565676,2.4202552,3.166744,1.7865381,1.4238617,0.22765388,0.027558327
154,0.6527511,0.6445207,154,0.7633739,0.8051104,3.329816,4.545967,2.8402207,4.505442,0.74372715,0.90904063
155,0.520239,0.38319373,155,0.7833738,0.88949525,2.3023868,5.695842,2.718756,4.040279,0.5709608,0.32058644
156,0.5964708,0.76899785,156,0.1889419,0.24206984,3.8957467,5.672026,3.7476528,3.2458029,0.55244607,0.6055044
157,0.26999655,0.07451129,157,0.7727075,0.8467727,1.6085278,3.5981297,3.948157,4.382462,0.6807422,0.9884743
158,0.77260286,0.624346,158,0.5406577,0.5660253,2.557537,3.914106,0.891426,0.24379635,0.7683612,0.2946974
159,0.54177606,0.30034876,159,0.08439992,0.003247738,3.807632,2.5461078,3.9181473,5.096253,0.5641714,0.6538481
160,0.24205467,0.16126126,160,0.6298549,0.6736252,2.3962939,5.378473,2.1052988,1.191541,0.48464745,0.30403173
161,0.7980522,0.97190577,161,0.5440382,0.53908026,2.7058516,3.158227,1.1046224,0.19790947,0.6972782,0.68795675
162,0.5578155,0.7702997,162,0.09164137,0.058413684,3.8625913,4.0174923,3.7072303,2.8569365,0.53890604,0.2303623
163,0.43082318,0.43144542,163,0.08938177,0.047730327,3.6383364,5.834092,4.348878,3.864134,0.5270876,0.6202378
164,0.24445215,0.16434664,164,0.74889284,0.76304066,2.1625223,4.0760646,1.9675169,0.12472594,0.73514503,0.7557207
165,0.41931203,0.8507166,165,0.79867506,0.9393022,1.926923,2.8156834,2.4739544,2.0394366,0.33883446,0.044186115
166,0.7485455,0.8537599,166,0.78298986,0.83695185,2.4252818,3.051409,0.9552786,1.1750886,0.6787141,0.6571025
167,0.5650298,0.80537534,167,0.09695018,0.06520641,3.9149282,4.8455515,3.882602,3.9914203,0.5613745,0.39878148
168,0.1970786,0.226731,168,0.25080281,0.32078725,2.4934962,4.918549,3.0229,3.5286646,0.48552495,0.062023282
169,0.2671947,0.1027081,169,0.75218916,0.8296911,1.6712685,4.757725,3.4957366,3.594283,0.2266715,0.32475287
170,0.31766343,0.75244856,170,0.6739997,0.8758424,0.68314755,0.40577853,0.60896885,0.51171076,0.7934422,0.87068254
171,0.6957596,0.45271987,171,0.8327183,0.9993867,2.3526623,5.714389,1.1937736,0.9576727,0.71727735,0.6834472
172,0.38094148,0.78937393,172,0.71353775,0.721934,2.375354,0.8136438,3.9580522,4.7587705,0.62411517,0.48745632
173,0.32870513,0.39390463,173,0.78453714,0.9541611,1.721957,2.6810768,2.6465523,3.2792225,0.6676256,0.37580335
