,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight,inferred repetition,true repetition
175,0.37312695,0.33024383,175,0.7978667,0.9607045,1.6819782,1.4370768,3.234539,3.8266263,0.52669954,0.6309132
176,0.66929555,0.81483024,176,0.45528942,0.50080895,2.287913,1.320837,1.0319841,1.5509251,0.7786002,0.9292981
177,0.56446916,0.8736776,177,0.59053713,0.49719816,1.3713183,1.1526943,0.8088531,0.28613448,0.35152212,0.11314553
178,0.41441172,0.34882027,178,0.089414366,0.11876953,3.2622638,4.809498,4.422328,5.6459093,0.5565713,0.08882123
179,0.55867076,0.86483186,179,0.17854239,0.18012112,3.7545247,4.1308937,3.862465,2.1998885,0.4838529,0.9082688
180,0.23186377,0.044085383,180,0.5721496,0.5620047,1.843237,3.8879533,4.988673,4.9406013,0.11835481,0.04524082
181,0.39927036,0.41979396,181,0.79712456,0.9919577,1.9592121,5.6957383,3.5956585,5.5320134,0.24116829,0.027024567
182,0.3696121,0.21089762,182,0.29142413,0.22557783,2.8909004,2.7569804,2.1147976,0.010961652,0.6236733,0.936624
183,0.38402465,0.29821205,183,0.5104199,0.58991927,2.5995655,3.8996105,4.746502,5.865347,0.25943366,0.17144537
184,0.38907868,0.8128421,184,0.7917368,0.9429277,2.0160046,2.1407862,2.3224144,5.147317,0.5167659,0.22368872
185,0.2855252,0.13563019,185,0.6092672,0.47816396,1.1690332,0.48938835,1.3548701,1.6349655,0.20266587,0.44800955
186,0.37282923,0.63910764,186,0.33330747,0.28970265,1.5196422,0.40775836,2.9916797,3.1910653,0.5154478,0.36697286
187,0.40316278,0.52917975,187,0.6178823,0.6095504,1.7510797,1.0551374,2.6004293,2.9089873,0.21101083,0.13336074
