,discount,learning rate,mf weight,mb weight,repetition,subject
57,0.49206477,0.2705749,5.392464,3.8160896,0.41492337,7
58,0.41597044,0.74654204,2.4448175,2.1493118,0.62480396,8
59,0.6723759,0.84198135,3.3039842,3.3610747,0.35381034,9
60,0.3617437,0.69000274,1.8149697,3.530426,0.42828134,10
61,0.5084305,0.49443635,1.7961985,1.5410733,0.59432113,11
62,0.31902826,0.6887848,2.3697374,2.8566701,0.44568735,12
63,0.1163398,0.50652593,3.366193,1.4664018,0.6678145,13
64,0.46558362,0.57269806,2.6513813,1.8201377,0.4553028,14
65,0.62207705,0.3780923,4.130807,0.9808612,0.3555014,15
66,0.17830214,0.6143971,3.1136317,2.2190628,0.19235632,16
67,0.71899575,0.44554,5.2817564,5.437184,0.5883599,17
68,0.61732197,0.69280344,2.5520945,3.071123,0.59364814,18
69,0.73996156,0.35743484,3.4860291,4.019346,0.7004972,19
70,0.58924335,0.21059759,4.5851126,4.0696754,0.8596674,20
71,0.5397143,0.8202885,2.6488962,4.33521,0.7274766,21
72,0.55230796,0.7426756,1.9076009,1.5166411,0.18394557,22
73,0.648689,0.4023452,0.46390897,1.3704281,0.17803371,23
74,0.15396883,0.7818479,4.353075,4.4183683,0.78676975,24
75,0.8047636,0.3204593,2.9703047,3.2031684,0.87039846,25
76,0.27832898,0.66092265,3.9353464,3.5829582,0.14455074,26
77,0.5866557,0.7941215,1.9532994,3.320529,0.8914379,27
78,0.4617943,0.6052695,3.284346,3.2171574,0.48470685,28
79,0.35072142,0.18856281,1.3786807,4.742467,0.31156012,29
80,0.4484251,0.5662894,1.8784256,3.6750002,0.8331619,30
81,0.28147423,0.50822514,3.4632375,3.0779643,0.7780286,31
82,0.3033002,0.13959196,2.6247177,1.3053443,0.537722,32
83,0.780756,0.65140194,1.9948719,2.243398,0.19221385,33
84,0.6371837,0.28711936,4.3972836,4.8370132,0.57590175,34
85,0.38194722,0.62271947,1.9323514,2.992754,0.23946396,35
86,0.42577964,0.79846466,3.4702935,4.0338454,0.5425641,36
87,0.4211268,0.7700691,3.1804984,3.7656808,0.76936066,37
88,0.58242834,0.6666143,0.43176144,3.5912797,0.44182158,38
89,0.33851737,0.60704404,2.9550726,1.7606853,0.8442906,39
90,0.73968506,0.3280532,2.8556619,2.632567,0.25748476,40
91,0.28851405,0.688845,1.860219,2.2303624,0.8078105,41
92,0.6437621,0.66074026,1.4605198,0.6547248,0.3435492,42
93,0.48318815,0.7596498,1.0563457,1.8611495,0.41249081,43
94,0.6582181,0.29687434,2.397869,4.4742203,0.3468247,44
95,0.255534,0.58487105,4.172494,4.612586,0.35137904,45
96,0.7534699,0.784823,2.736424,4.720872,0.5048905,46
97,0.6217573,0.31423962,2.9861603,3.3537064,0.6380828,47
98,0.43624756,0.19626933,3.4950347,3.8855252,0.7192153,48
99,0.20871694,0.7365192,3.8408961,3.949461,0.10655905,49
100,0.4754824,0.6002062,3.2859879,2.2390623,0.12557149,0
101,0.14572485,0.55206096,2.6231997,1.959723,0.43012485,1
102,0.7312884,0.12943462,1.1902709,4.563679,0.3375743,2
103,0.4863975,0.79726803,2.6446605,4.0002484,0.41645062,3
104,0.4432306,0.5206958,0.9090587,2.6040149,0.43066862,4
105,0.7991809,0.3705139,3.1143029,4.012151,0.2949129,5
106,0.41168624,0.11400093,2.6098506,3.1715305,0.45878276,6
107,0.6113745,0.4678326,4.753001,4.2883744,0.75168437,7
108,0.4760829,0.52587783,1.5593798,2.3720856,0.68432075,8
109,0.1708727,0.48001853,3.4184282,1.9386799,0.40490392,9
110,0.5057044,0.68937904,1.5590878,3.5151765,0.61669046,10
111,0.45400575,0.43625796,1.7279122,1.7834046,0.5008609,11
112,0.65119386,0.7138189,1.6280835,1.7873242,0.066104524,12
113,0.28748965,0.8116044,2.1465645,1.8947282,0.42039007,13
114,0.43583497,0.46643496,0.8168709,1.4780462,0.803011,14
115,0.80223626,0.39609048,3.2174497,3.0613265,0.35811847,15
116,0.3530224,0.54708064,1.3877053,2.217535,0.19143784,16
117,0.7639378,0.5437152,5.264697,4.499281,0.44785452,17
118,0.3943743,0.4099221,4.1250625,0.6675989,0.3939613,18
119,0.8549438,0.19188793,1.8873923,3.6411774,0.14381717,19
120,0.557449,0.4227034,4.337267,4.0348253,0.8893088,20
121,0.6627076,0.54488224,1.5410739,3.4721303,0.6682314,21
122,0.29844442,0.5463979,2.2049735,1.5266573,0.22653064,22
123,0.7318011,0.79147667,3.0982418,3.095315,0.23359048,23
124,0.17169419,0.47871548,2.9498706,1.7068073,0.7489281,24
125,0.5652556,0.52839017,5.2717266,3.4940176,0.84671974,25
126,0.3246424,0.48422146,2.6620035,2.9181097,0.22073965,26
127,0.49499202,0.6328974,2.8477654,3.199202,0.37901697,27
128,0.3958888,0.5792826,1.496739,3.596263,0.86700517,28
129,0.57612425,0.34616882,2.713208,5.173913,0.91062456,29
130,0.35088405,0.5758625,2.6172457,2.6419146,0.91516536,30
131,0.32448632,0.75659704,4.179594,4.8839664,0.9239792,31
132,0.4453582,0.1812639,4.378331,1.0642283,0.30629855,32
133,0.5030233,0.75395644,2.4178143,1.7715487,0.4169669,33
134,0.80335355,0.567421,4.0438595,5.744559,0.67272544,34
