,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
62,0.38668582,62,0.71997,0.87580884,1.1103123
63,0.40626782,63,0.6391714,1.1384444,0.9071607
64,0.46490186,64,0.5062814,2.7322624,1.011847
65,0.44716862,65,0.7170488,1.2182298,0.9728694
66,0.6727488,66,0.49504852,2.3162818,2.2622695
67,0.65675986,67,0.4543939,2.0469658,1.1143843
68,0.23034973,68,0.4647671,1.4816421,1.0719452
69,0.32303292,69,0.4790996,0.77426726,0.6013881
70,0.5773344,70,0.6469932,1.7271782,1.5814507
71,0.6376126,71,0.7049578,0.9457764,0.8908774
72,0.3763352,72,0.7833888,1.218758,2.4661624
73,0.6279169,73,0.5493815,1.4225564,1.317217
74,0.5620947,74,0.500244,2.2854154,2.3781278
75,0.25955856,75,0.7467692,1.1182357,1.0022357
76,0.5304071,76,0.40081233,1.2403777,0.9061889
77,0.33407968,77,0.8060248,1.011819,3.703177
78,0.4303446,78,0.58721805,1.0878454,0.7397721
79,0.18775448,79,0.7010335,1.2953396,0.8904358
80,0.48268834,80,0.4603493,1.8847597,0.7868953
81,0.29547638,81,0.7476051,1.7091788,3.5613081
82,0.29786414,82,0.7004577,0.5236019,0.4428658
83,0.38574344,83,0.73060536,1.1481076,1.725334
84,0.2842332,84,0.6636093,0.5528652,0.4441144
85,0.19151837,85,0.6027391,1.6661572,0.8119204
86,0.52761793,86,0.5769805,1.0603049,0.7912665
87,0.52885157,87,0.52077353,1.855616,2.819492
88,0.63356537,88,0.34555402,1.0694776,0.64251333
89,0.31513557,89,0.69726783,0.5609973,0.48503503
90,0.54423475,90,0.77940124,1.4909085,1.5378562
91,0.32405567,91,0.7193127,1.2499112,1.037387
92,0.43073523,92,0.74109477,0.6852683,0.46512544
93,0.63847774,93,0.384065,1.9352394,1.8915932
94,0.4544017,94,0.5868295,2.0799804,2.5942771
95,0.3760216,95,0.58651537,1.6668804,1.6026133
96,0.31316534,96,0.5456997,2.056994,1.1613989
97,0.8506413,97,0.39480767,2.9924114,0.5327129
98,0.5489203,98,0.72888064,1.9121053,1.5426968
99,0.6239095,99,0.5451832,2.3825488,1.3364103
100,0.38082352,100,0.4024502,0.61348623,0.48379126
101,0.5713598,101,0.56864744,2.4697065,2.0658503
102,0.27257794,102,0.5984034,1.3611853,0.89087623
